Output,RNG-number,Start-time,End-time,Initials,Notes
Subject_62.csv-Subject_62.mat,1222,2016\5\10\2:11 PM,2016\5\10\2:17 PM,KWP,Robot
Subject_63.csv-Subject_63.mat,6768,2016\5\10\2:25 PM,2016\5\10\2:27 PM,KWP,Robot
Subject_64.csv-Subject_64.mat,4041,2016\5\10\2:35 PM,2016\5\10\2:39 PM,KWP,Robot
Subject_65.csv-Subject_65.mat,14,2016\5\10\2:43 PM,2016\5\10\2:48 PM,KWP,Robot
Subject_66.csv-Subject_66.mat,6379,2016\5\10\2:55 PM,2016\5\10\2:57 PM,KWP,Robot
Subject_67.csv-Subject_67.mat,5611,2016\5\10\2:58 PM,2016\5\10\3:01 PM,KWP,Robot
