picID	 fileAB	 fileAC	 ;
"F33_P26_RP"	"MichaelJackson1.bmp"	"RialtoBridge2.bmp"	;
"F41_P19_RP"	"PrinceWilliam1.bmp"	"TajMahal2.bmp"	;
"F34_P23_RP"	"DanielRadcliffe2.bmp"	"GizehPyramids1.bmp"	;
"F7_P3_C"	"RobbieWilliams1.bmp"	"Akropolis1.bmp"	;
"F46_P24_RP"	"ScarlettJohansson2.bmp"	"ChichenItza2.bmp"	;
"F39_P22_RP"	"MargaretThatcher1.bmp"	"TimeSquare1.bmp"	;
"F47_P14_RP"	"ElvisPresley1.bmp"	"MountEverest1.bmp"	;
"F11_P1_C"	"MotherTeresa1.bmp"	"Alcatraz1.bmp"	;
"F36_P18_RP"	"MickJagger2.bmp"	"Petra1.bmp"	;
"F38_P27_RP"	"RodSteward1.bmp"	"Alhambra2.bmp"	;
"F42_P15_RP"	"Madonna1.bmp"	"Stonehenge2.bmp"	;
"F8_P5_C"	"TomHanks2.bmp"	"MountRushmore1.bmp"	;
"F43_O13_RP"	"GeorgeBush1.bmp"	"Binoculars1.bmp"	;
"F32_O19_RP"	"DanielCraig2.bmp"	"Microscope2.bmp"	;
"F37_O16_RP"	"BillClinton1.bmp"	"Razor2.bmp"	;
"F10_O4_C"	"HughGrant1.bmp"	"Football2.bmp"	;
"F45_O26_RP"	"MahadmaGandhi1.bmp"	"Lightbulb2.bmp"	;
"F48_O30_RP"	"DavidBeckham2.bmp"	"Umbrella1.bmp"	;
"F40_O21_RP"	"JuliaRoberts2.bmp"	"RemoteControl1.bmp"	;
"F9_O1_C"	"WhoopiGoldberg2.bmp"	"Telephone2.bmp"	;
"F31_O29_RP"	"AlbertEinstein2.bmp"	"Canoe2.bmp"	;
"F35_O15_RP"	"JudiDench1.bmp"	"FryingPan2.bmp"	;
"F44_O25_RP"	"WillSmith2.bmp"	"Sock2.bmp"	;
"F12_O2_C"	"QueenElisabeth1.bmp"	"Bed2.bmp"	;
"P34_F28_RP"	"NeuschwansteinCastle2.bmp"	"BarackObama1.bmp"	;
"P36_F29_RP"	"SydneyOpera2.bmp"	"PierceBrosnan1.bmp"	;
"P37_F14_RP"	"AngkorWat2.bmp"	"JohnLennon1.bmp"	;
"P12_F6_C"	"SistineChapel1.bmp"	"JenniferLopez2.bmp"	;
