picID	 fileAB	 fileAC	 ;
"F17_P46_RP"	"MerylStreep1.bmp"	"Versailles1.bmp"	;
"F29_P36_RP"	"PierceBrosnan1.bmp"	"SydneyOpera2.bmp"	;
"F16_P45_RP"	"EltonJohn2.bmp"	"MountFuji2.bmp"	;
"F6_P12_C"	"JenniferLopez2.bmp"	"SistineChapel2.bmp"	;
"F24_P48_RP"	"AmyWinehouse1.bmp"	"GrandCanyon1.bmp"	;
"F18_P41_RP"	"AngelaMerkel1.bmp"	"HollywoodSign1.bmp"	;
"F19_P39_RP"	"JackNicholson2.bmp"	"NotreDame1.bmp"	;
"F2_P10_C"	"MarilynMonroe2.bmp"	"RedSquare1.bmp"	;
"F14_P44_RP"	"JohnLennon2.bmp"	"Louvre1.bmp"	;
"F15_P47_RP"	"FidelCastro2.bmp"	"SagradaFamilia1.bmp"	;
"F23_P35_RP"	"CharlieChaplin1.bmp"	"PotalaPalace1.bmp"	;
"F4_P8_C"	"TonyBlair2.bmp"	"BrandenburgGate2.bmp"	;
"F26_O43_RP"	"BradPitt2.bmp"	"Guitar1.bmp"	;
"F25_O36_RP"	"BritneySpears2.bmp"	"GrandPiano1.bmp"	;
"F13_O41_RP"	"NelsonMandela2.bmp"	"Key1.bmp"	;
"F5_O9_C"	"TomCruise2.bmp"	"Shoe1.bmp"	;
"F21_O38_RP"	"KateWinslet2.bmp"	"Barbecue1.bmp"	;
"F28_O33_RP"	"BarackObama1.bmp"	"Skirt2.bmp"	;
"F20_O31_RP"	"GeorgeClooney2.bmp"	"Flask1.bmp"	;
"F1_O10_C"	"LeonardoDiCaprio1.bmp"	"Broom2.bmp"	;
"F22_O32_RP"	"WayneRooney1.bmp"	"Bicycle2.bmp"	;
"F27_O46_RP"	"KateMoss1.bmp"	"Rope2.bmp"	;
"F30_O37_RP"	"NikolaSarkozy2.bmp"	"Hat1.bmp"	;
"F3_O7_C"	"BillGates2.bmp"	"Headphones2.bmp"	;
"P20_F45_RP"	"GoldenGateBridge1.bmp"	"MahadmaGandhi1.bmp"	;
"P19_F33_RP"	"TajMahal1.bmp"	"MichaelJackson2.bmp"	;
"P17_F48_RP"	"EiffelTower1.bmp"	"DavidBeckham2.bmp"	;
"P6_F8_C"	"KingsCollege1.bmp"	"TomHanks2.bmp"	;
"P28_F41_RP"	"MontSaintMichel2.bmp"	"PrinceWilliam2.bmp"	;
