Output,RNG-number,Start-time,End-time,Initials,Notes,Visualization
Subject_2.csv-Subject_2.mat,4371,2016\5\19\12:22 AM,2016\5\19\1:57 PM,LH,(Room 201D) Said that the 'S' in the SR phase was not responsive half of the time (did not light up),3
Subject_31.csv-Subject_31.mat,6875,2016\10\17\2:01 PM,2016\10\17\3:49 PM,LH,(Room 201D) For part 5 - misunderstood the instructions - didn't have responses for most of it,3
