picID	 fileAB	 fileAC	 ;
"F16_P33_RP"	"EltonJohn1.bmp"	"Mecca2.bmp"	;
"F3_P32_RP"	"BillGates1.bmp"	"TowerBridge1.bmp"	;
"F4_P29_RP"	"TonyBlair2.bmp"	"StatueOfLiberty1.bmp"	;
"F37_P43_C"	"BillClinton1.bmp"	"MachuPicchu2.bmp"	;
"F7_P34_RP"	"RobbieWilliams1.bmp"	"NeuschwansteinCastle2.bmp"	;
"F8_P28_RP"	"TomHanks2.bmp"	"MontSaintMichel1.bmp"	;
"F5_P21_RP"	"TomCruise1.bmp"	"HagiaSophia2.bmp"	;
"F39_P46_C"	"MargaretThatcher2.bmp"	"Versailles2.bmp"	;
"F14_P36_RP"	"JohnLennon1.bmp"	"SydneyOpera2.bmp"	;
"F12_P26_RP"	"QueenElisabeth1.bmp"	"RialtoBridge1.bmp"	;
"F13_P20_RP"	"NelsonMandela1.bmp"	"GoldenGateBridge1.bmp"	;
"F42_P47_C"	"Madonna2.bmp"	"SagradaFamilia2.bmp"	;
"F6_O21_RP"	"JenniferLopez2.bmp"	"RemoteControl1.bmp"	;
"F2_O30_RP"	"MarilynMonroe2.bmp"	"Umbrella1.bmp"	;
"F17_O26_RP"	"MerylStreep1.bmp"	"Lightbulb2.bmp"	;
"F40_O48_C"	"JuliaRoberts2.bmp"	"Trophy1.bmp"	;
"F11_O31_RP"	"MotherTeresa2.bmp"	"Flask1.bmp"	;
"F9_O22_RP"	"WhoopiGoldberg2.bmp"	"Globe2.bmp"	;
"F18_O20_RP"	"AngelaMerkel2.bmp"	"Wheelchair1.bmp"	;
"F41_O44_C"	"PrinceWilliam1.bmp"	"Radio2.bmp"	;
"F10_O36_RP"	"HughGrant1.bmp"	"GrandPiano1.bmp"	;
"F1_O32_RP"	"LeonardoDiCaprio2.bmp"	"Bicycle1.bmp"	;
"F15_O33_RP"	"FidelCastro1.bmp"	"Skirt2.bmp"	;
"F38_O45_C"	"RodSteward2.bmp"	"Basket2.bmp"	;
"P10_F32_RP"	"RedSquare1.bmp"	"DanielCraig2.bmp"	;
"P1_F29_RP"	"Alcatraz2.bmp"	"PierceBrosnan2.bmp"	;
"P13_F21_RP"	"BigBen1.bmp"	"KateWinslet2.bmp"	;
"P39_F45_C"	"NotreDame2.bmp"	"MahadmaGandhi2.bmp"	;
"P18_F31_RP"	"Petra1.bmp"	"AlbertEinstein1.bmp"	;
"P14_F35_RP"	"MountEverest1.bmp"	"JudiDench2.bmp"	;
"P8_F36_RP"	"BrandenburgGate2.bmp"	"MickJagger2.bmp"	;
"P42_F46_C"	"ChristTheRedeemer1.bmp"	"ScarlettJohansson2.bmp"	;
"P11_F33_RP"	"WhiteHouse2.bmp"	"MichaelJackson1.bmp"	;
"P6_F28_RP"	"KingsCollege1.bmp"	"BarackObama1.bmp"	;
"P7_F34_RP"	"AyersRock1.bmp"	"DanielRadcliffe2.bmp"	;
"P37_F44_C"	"AngkorWat2.bmp"	"WillSmith2.bmp"	;
"P9_O28_RP"	"Atomium2.bmp"	"Suitcase1.bmp"	;
"P12_O29_RP"	"SistineChapel2.bmp"	"Canoe1.bmp"	;
"P2_O35_RP"	"ForbiddenCity1.bmp"	"Brush1.bmp"	;
"P38_O46_C"	"GreatWall2.bmp"	"Rope1.bmp"	;
"P3_O23_RP"	"Akropolis1.bmp"	"Pillows1.bmp"	;
"P15_O27_RP"	"Stonehenge1.bmp"	"Fan2.bmp"	;
"P5_O25_RP"	"MountRushmore2.bmp"	"Sock1.bmp"	;
"P40_O47_C"	"RapaNui2.bmp"	"Scissors1.bmp"	;
"P17_O24_RP"	"EiffelTower2.bmp"	"Necklace2.bmp"	;
"P4_O19_RP"	"DoverCliffs2.bmp"	"Microscope1.bmp"	;
"P16_O34_RP"	"LeaningTower2.bmp"	"Soother2.bmp"	;
"P41_O43_C"	"HollywoodSign2.bmp"	"Guitar1.bmp"	;
"O6_F19_RP"	"Wineglass1.bmp"	"JackNicholson1.bmp"	;
"O14_F20_RP"	"Hammock2.bmp"	"GeorgeClooney2.bmp"	;
"O3_F25_RP"	"Scale1.bmp"	"BritneySpears1.bmp"	;
"O41_F43_C"	"Key1.bmp"	"GeorgeBush2.bmp"	;
"O9_F30_RP"	"Shoe1.bmp"	"NikolaSarkozy2.bmp"	;
"O4_F22_RP"	"Football1.bmp"	"WayneRooney1.bmp"	;
"O12_F23_RP"	"Goggles2.bmp"	"CharlieChaplin1.bmp"	;
"O37_F48_C"	"Hat1.bmp"	"DavidBeckham2.bmp"	;
"O18_F26_RP"	"Stapler1.bmp"	"BradPitt1.bmp"	;
"O1_F24_RP"	"Telephone1.bmp"	"AmyWinehouse2.bmp"	;
"O8_F27_RP"	"Ladder2.bmp"	"KateMoss2.bmp"	;
"O39_F47_C"	"Mirror2.bmp"	"ElvisPresley1.bmp"	;
"O10_P22_RP"	"Broom1.bmp"	"TimeSquare1.bmp"	;
"O17_P30_RP"	"Belt1.bmp"	"Colosseum1.bmp"	;
"O15_P24_RP"	"FryingPan2.bmp"	"ChichenItza1.bmp"	;
"O42_P44_C"	"Anchor1.bmp"	"Louvre1.bmp"	;
"O13_P27_RP"	"Binoculars1.bmp"	"Alhambra1.bmp"	;
"O11_P31_RP"	"Watch1.bmp"	"NiagaraFalls1.bmp"	;
"O7_P35_RP"	"Headphones2.bmp"	"PotalaPalace1.bmp"	;
"O38_P45_C"	"Barbecue2.bmp"	"MountFuji1.bmp"	;
"O5_P23_RP"	"Torch2.bmp"	"GizehPyramids1.bmp"	;
"O16_P19_RP"	"Razor1.bmp"	"TajMahal2.bmp"	;
"O2_P25_RP"	"Bed1.bmp"	"SaharaDesert2.bmp"	;
"O40_P48_C"	"Teddybear2.bmp"	"GrandCanyon1.bmp"	;
