picID	 fileAB	 fileAC	 ;
"F35_P15_RP"	"JudiDench1.bmp"	"Stonehenge2.bmp"	;
"F24_P18_RP"	"AmyWinehouse2.bmp"	"Petra1.bmp"	;
"F22_P17_RP"	"WayneRooney1.bmp"	"EiffelTower2.bmp"	;
"F47_P41_C"	"ElvisPresley1.bmp"	"HollywoodSign1.bmp"	;
"F34_P5_RP"	"DanielRadcliffe2.bmp"	"MountRushmore1.bmp"	;
"F20_P14_RP"	"GeorgeClooney1.bmp"	"MountEverest2.bmp"	;
"F36_P1_RP"	"MickJagger2.bmp"	"Alcatraz2.bmp"	;
"F45_P40_C"	"MahadmaGandhi2.bmp"	"RapaNui1.bmp"	;
"F25_P16_RP"	"BritneySpears1.bmp"	"LeaningTower2.bmp"	;
"F23_P11_RP"	"CharlieChaplin1.bmp"	"WhiteHouse1.bmp"	;
"F30_P10_RP"	"NikolaSarkozy1.bmp"	"RedSquare2.bmp"	;
"F46_P37_C"	"ScarlettJohansson1.bmp"	"AngkorWat1.bmp"	;
"F19_O7_RP"	"JackNicholson1.bmp"	"Headphones2.bmp"	;
"F31_O9_RP"	"AlbertEinstein2.bmp"	"Shoe2.bmp"	;
"F33_O3_RP"	"MichaelJackson2.bmp"	"Scale1.bmp"	;
"F43_O41_C"	"GeorgeBush1.bmp"	"Key1.bmp"	;
"F21_O10_RP"	"KateWinslet2.bmp"	"Broom1.bmp"	;
"F29_O5_RP"	"PierceBrosnan2.bmp"	"Torch1.bmp"	;
"F26_O16_RP"	"BradPitt2.bmp"	"Razor2.bmp"	;
"F48_O42_C"	"DavidBeckham1.bmp"	"Anchor1.bmp"	;
"F27_O2_RP"	"KateMoss1.bmp"	"Bed1.bmp"	;
"F28_O4_RP"	"BarackObama1.bmp"	"Football2.bmp"	;
"F32_O8_RP"	"DanielCraig2.bmp"	"Ladder1.bmp"	;
"F44_O39_C"	"WillSmith2.bmp"	"Mirror1.bmp"	;
"P28_F18_RP"	"MontSaintMichel1.bmp"	"AngelaMerkel2.bmp"	;
"P36_F10_RP"	"SydneyOpera1.bmp"	"HughGrant1.bmp"	;
"P22_F3_RP"	"TimeSquare1.bmp"	"BillGates1.bmp"	;
"P47_F38_C"	"SagradaFamilia2.bmp"	"RodSteward2.bmp"	;
"P21_F12_RP"	"HagiaSophia1.bmp"	"QueenElisabeth2.bmp"	;
"P34_F8_RP"	"NeuschwansteinCastle2.bmp"	"TomHanks1.bmp"	;
"P19_F7_RP"	"TajMahal2.bmp"	"RobbieWilliams1.bmp"	;
"P48_F42_C"	"GrandCanyon1.bmp"	"Madonna2.bmp"	;
"P30_F17_RP"	"Colosseum2.bmp"	"MerylStreep2.bmp"	;
"P29_F15_RP"	"StatueOfLiberty1.bmp"	"FidelCastro2.bmp"	;
"P25_F11_RP"	"SaharaDesert2.bmp"	"MotherTeresa2.bmp"	;
"P44_F41_C"	"Louvre1.bmp"	"PrinceWilliam1.bmp"	;
"P24_O1_RP"	"ChichenItza1.bmp"	"Telephone1.bmp"	;
"P31_O14_RP"	"NiagaraFalls1.bmp"	"Hammock1.bmp"	;
"P33_O13_RP"	"Mecca1.bmp"	"Binoculars1.bmp"	;
"P43_O40_C"	"MachuPicchu2.bmp"	"Teddybear2.bmp"	;
"P26_O6_RP"	"RialtoBridge1.bmp"	"Wineglass2.bmp"	;
"P35_O12_RP"	"PotalaPalace2.bmp"	"Goggles2.bmp"	;
"P32_O15_RP"	"TowerBridge2.bmp"	"FryingPan1.bmp"	;
"P46_O37_C"	"Versailles2.bmp"	"Hat1.bmp"	;
"P23_O18_RP"	"GizehPyramids1.bmp"	"Stapler1.bmp"	;
"P27_O11_RP"	"Alhambra1.bmp"	"Watch1.bmp"	;
"P20_O17_RP"	"GoldenGateBridge1.bmp"	"Belt2.bmp"	;
"P45_O38_C"	"MountFuji1.bmp"	"Barbecue2.bmp"	;
"O23_F1_RP"	"Pillows2.bmp"	"LeonardoDiCaprio2.bmp"	;
"O22_F2_RP"	"Globe2.bmp"	"MarilynMonroe1.bmp"	;
"O26_F16_RP"	"Lightbulb1.bmp"	"EltonJohn2.bmp"	;
"O45_F40_C"	"Basket2.bmp"	"JuliaRoberts1.bmp"	;
"O25_F13_RP"	"Sock1.bmp"	"NelsonMandela1.bmp"	;
"O30_F9_RP"	"Umbrella1.bmp"	"WhoopiGoldberg1.bmp"	;
"O19_F5_RP"	"Microscope2.bmp"	"TomCruise2.bmp"	;
"O47_F37_C"	"Scissors1.bmp"	"BillClinton2.bmp"	;
"O24_F6_RP"	"Necklace2.bmp"	"JenniferLopez2.bmp"	;
"O28_F14_RP"	"Suitcase2.bmp"	"JohnLennon1.bmp"	;
"O36_F4_RP"	"GrandPiano1.bmp"	"TonyBlair2.bmp"	;
"O43_F39_C"	"Guitar2.bmp"	"MargaretThatcher2.bmp"	;
"O20_P8_RP"	"Wheelchair2.bmp"	"BrandenburgGate2.bmp"	;
"O35_P9_RP"	"Brush1.bmp"	"Atomium2.bmp"	;
"O29_P2_RP"	"Canoe1.bmp"	"ForbiddenCity2.bmp"	;
"O46_P38_C"	"Rope2.bmp"	"GreatWall1.bmp"	;
"O21_P13_RP"	"RemoteControl1.bmp"	"BigBen2.bmp"	;
"O33_P4_RP"	"Skirt2.bmp"	"DoverCliffs1.bmp"	;
"O32_P7_RP"	"Bicycle1.bmp"	"AyersRock2.bmp"	;
"O48_P42_C"	"Trophy2.bmp"	"ChristTheRedeemer1.bmp"	;
"O27_P12_RP"	"Fan1.bmp"	"SistineChapel2.bmp"	;
"O31_P3_RP"	"Flask1.bmp"	"Akropolis1.bmp"	;
"O34_P6_RP"	"Soother2.bmp"	"KingsCollege2.bmp"	;
"O44_P39_C"	"Radio2.bmp"	"NotreDame1.bmp"	;
