picID	 fileAB	 fileAC	 ;
"F5_P37_RP"	"TomCruise1.bmp"	"AngkorWat1.bmp"	;
"F25_P45_RP"	"BritneySpears2.bmp"	"MountFuji1.bmp"	;
"F3_P32_RP"	"BillGates2.bmp"	"TowerBridge1.bmp"	;
"F18_P22_C"	"AngelaMerkel1.bmp"	"TimeSquare2.bmp"	;
"F30_P35_RP"	"NikolaSarkozy2.bmp"	"PotalaPalace1.bmp"	;
"F2_P39_RP"	"MarilynMonroe2.bmp"	"NotreDame1.bmp"	;
"F28_P42_RP"	"BarackObama1.bmp"	"ChristTheRedeemer2.bmp"	;
"F14_P19_C"	"JohnLennon2.bmp"	"TajMahal2.bmp"	;
"F10_P33_RP"	"HughGrant2.bmp"	"Mecca1.bmp"	;
"F26_P48_RP"	"BradPitt2.bmp"	"GrandCanyon2.bmp"	;
"F27_P46_RP"	"KateMoss1.bmp"	"Versailles2.bmp"	;
"F16_P23_C"	"EltonJohn1.bmp"	"GizehPyramids1.bmp"	;
"F29_O39_RP"	"PierceBrosnan1.bmp"	"Mirror2.bmp"	;
"F1_O38_RP"	"LeonardoDiCaprio2.bmp"	"Barbecue2.bmp"	;
"F4_O36_RP"	"TonyBlair2.bmp"	"GrandPiano2.bmp"	;
"F17_O22_C"	"MerylStreep1.bmp"	"Globe2.bmp"	;
"F12_O34_RP"	"QueenElisabeth1.bmp"	"Soother1.bmp"	;
"F11_O43_RP"	"MotherTeresa1.bmp"	"Guitar1.bmp"	;
"F7_O37_RP"	"RobbieWilliams1.bmp"	"Hat2.bmp"	;
"F13_O19_C"	"NelsonMandela1.bmp"	"Microscope1.bmp"	;
"F8_O45_RP"	"TomHanks2.bmp"	"Basket2.bmp"	;
"F6_O44_RP"	"JenniferLopez2.bmp"	"Radio1.bmp"	;
"F9_O46_RP"	"WhoopiGoldberg2.bmp"	"Rope1.bmp"	;
"F15_O21_C"	"FidelCastro1.bmp"	"RemoteControl2.bmp"	;
"P4_F44_RP"	"DoverCliffs2.bmp"	"WillSmith2.bmp"	;
"P26_F34_RP"	"RialtoBridge1.bmp"	"DanielRadcliffe2.bmp"	;
"P30_F42_RP"	"Colosseum1.bmp"	"Madonna2.bmp"	;
"P15_F20_C"	"Stonehenge2.bmp"	"GeorgeClooney1.bmp"	;
"P12_F45_RP"	"SistineChapel2.bmp"	"MahadmaGandhi2.bmp"	;
"P2_F33_RP"	"ForbiddenCity2.bmp"	"MichaelJackson2.bmp"	;
"P29_F48_RP"	"StatueOfLiberty2.bmp"	"DavidBeckham1.bmp"	;
"P14_F21_C"	"MountEverest1.bmp"	"KateWinslet2.bmp"	;
"P1_F38_RP"	"Alcatraz1.bmp"	"RodSteward1.bmp"	;
"P28_F47_RP"	"MontSaintMichel1.bmp"	"ElvisPresley2.bmp"	;
"P5_F32_RP"	"MountRushmore1.bmp"	"DanielCraig1.bmp"	;
"P18_F19_C"	"Petra2.bmp"	"JackNicholson2.bmp"	;
"P3_O33_RP"	"Akropolis1.bmp"	"Skirt2.bmp"	;
"P11_O42_RP"	"WhiteHouse2.bmp"	"Anchor2.bmp"	;
"P8_O48_RP"	"BrandenburgGate2.bmp"	"Trophy2.bmp"	;
"P16_O24_C"	"LeaningTower2.bmp"	"Necklace2.bmp"	;
"P27_O32_RP"	"Alhambra1.bmp"	"Bicycle1.bmp"	;
"P25_O35_RP"	"SaharaDesert2.bmp"	"Brush1.bmp"	;
"P9_O41_RP"	"Atomium2.bmp"	"Key1.bmp"	;
"P17_O20_C"	"EiffelTower2.bmp"	"Wheelchair2.bmp"	;
"P6_O31_RP"	"KingsCollege2.bmp"	"Flask2.bmp"	;
"P7_O40_RP"	"AyersRock1.bmp"	"Teddybear1.bmp"	;
"P10_O47_RP"	"RedSquare2.bmp"	"Scissors1.bmp"	;
"P13_O23_C"	"BigBen2.bmp"	"Pillows2.bmp"	;
"O9_F36_RP"	"Shoe1.bmp"	"MickJagger1.bmp"	;
"O11_F41_RP"	"Watch1.bmp"	"PrinceWilliam2.bmp"	;
"O10_F35_RP"	"Broom2.bmp"	"JudiDench2.bmp"	;
"O16_F22_C"	"Razor2.bmp"	"WayneRooney2.bmp"	;
"O28_F39_RP"	"Suitcase1.bmp"	"MargaretThatcher1.bmp"	;
"O30_F40_RP"	"Umbrella1.bmp"	"JuliaRoberts2.bmp"	;
"O8_F31_RP"	"Ladder2.bmp"	"AlbertEinstein2.bmp"	;
"O14_F23_C"	"Hammock2.bmp"	"CharlieChaplin2.bmp"	;
"O27_F37_RP"	"Fan1.bmp"	"BillClinton1.bmp"	;
"O7_F43_RP"	"Headphones2.bmp"	"GeorgeBush2.bmp"	;
"O29_F46_RP"	"Canoe2.bmp"	"ScarlettJohansson1.bmp"	;
"O18_F24_C"	"Stapler1.bmp"	"AmyWinehouse2.bmp"	;
