Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
1,1,F_Image_6.bmp,NA,NA,NA,NA,1,6.3152,NA,NA
2,1,S_Lure_54.bmp,NA,NA,NA,NA,1,0.67548,NA,NA
3,1,F_Lure_4.bmp,NA,NA,NA,NA,1,0.49283,NA,NA
4,1,O_Lure_41.bmp,NA,NA,NA,NA,1,0.6548,NA,NA
5,1,F_Lure_21.bmp,NA,NA,NA,NA,1,1.8321,NA,NA
6,1,S_Lure_63.bmp,NA,NA,NA,NA,1,0.050954,NA,NA
7,1,F_Image_7.bmp,NA,NA,NA,NA,1,0.86029,NA,NA
8,1,S_Lure_61.bmp,NA,NA,NA,NA,1,0.47643,NA,NA
9,1,F_Image_2.bmp,NA,NA,NA,NA,1,0.16434,NA,NA
10,1,S_Lure_64.bmp,NA,NA,NA,NA,1,0.19578,NA,NA
11,1,F_Image_22.bmp,NA,NA,NA,NA,1,0.86577,NA,NA
12,1,F_Lure_1.bmp,NA,NA,NA,NA,1,0.4025,NA,NA
13,1,S_Lure_66.bmp,NA,NA,NA,NA,1,0.58971,NA,NA
14,1,O_Lure_25.bmp,NA,NA,NA,NA,1,1.0739,NA,NA
15,1,O_Lure_31.bmp,NA,NA,NA,NA,1,0.74004,NA,NA
16,1,S_Image_60.bmp,NA,NA,NA,NA,1,0.29,NA,NA
17,1,S_Image_68.bmp,NA,NA,NA,NA,1,0.45263,NA,NA
18,1,O_Lure_29.bmp,NA,NA,NA,NA,1,0.61674,NA,NA
19,1,S_Lure_70.bmp,NA,NA,NA,NA,1,0.50209,NA,NA
20,1,S_Lure_56.bmp,NA,NA,NA,NA,1,0.2889,NA,NA
21,1,F_Image_8.bmp,NA,NA,NA,NA,1,0.39349,NA,NA
22,1,S_Image_50.bmp,NA,NA,NA,NA,1,0.45448,NA,NA
23,1,S_Lure_51.bmp,NA,NA,NA,NA,1,0.39174,NA,NA
24,1,F_Image_18.bmp,NA,NA,NA,NA,1,1.1495,NA,NA
25,1,S_Image_56.bmp,NA,NA,NA,NA,1,0.55708,NA,NA
26,1,F_Image_16.bmp,NA,NA,NA,NA,1,0.70898,NA,NA
27,1,O_Image_48.bmp,NA,NA,NA,NA,1,0.11053,NA,NA
28,1,O_Lure_40.bmp,NA,NA,NA,NA,1,0.32043,NA,NA
29,1,O_Image_43.bmp,NA,NA,NA,NA,1,0.30511,NA,NA
30,1,S_Image_67.bmp,NA,NA,NA,NA,1,0.31539,NA,NA
31,1,S_Image_49.bmp,NA,NA,NA,NA,1,0.34719,NA,NA
32,1,S_Image_51.bmp,NA,NA,NA,NA,1,0.83546,NA,NA
33,1,O_Image_46.bmp,NA,NA,NA,NA,1,0.45535,NA,NA
34,1,F_Lure_14.bmp,NA,NA,NA,NA,1,0.49877,NA,NA
35,1,F_Image_3.bmp,NA,NA,NA,NA,1,0.34809,NA,NA
36,1,F_Lure_9.bmp,NA,NA,NA,NA,1,0.23546,NA,NA
37,1,S_Lure_52.bmp,NA,NA,NA,NA,1,0.34277,NA,NA
38,1,S_Image_61.bmp,NA,NA,NA,NA,1,1.3341,NA,NA
39,1,O_Lure_26.bmp,NA,NA,NA,NA,1,0.29363,NA,NA
40,1,S_Image_64.bmp,NA,NA,NA,NA,1,0.8403,NA,NA
41,1,F_Lure_2.bmp,NA,NA,NA,NA,1,0.30116,NA,NA
42,1,F_Image_14.bmp,NA,NA,NA,NA,1,0.03898,NA,NA
43,1,S_Image_69.bmp,NA,NA,NA,NA,1,0.62776,NA,NA
44,1,O_Image_44.bmp,NA,NA,NA,NA,1,0.40121,NA,NA
45,1,O_Image_28.bmp,NA,NA,NA,NA,1,0.64598,NA,NA
46,1,S_Image_53.bmp,NA,NA,NA,NA,1,0.85643,NA,NA
47,1,S_Image_70.bmp,NA,NA,NA,NA,1,0.26796,NA,NA
48,1,O_Lure_38.bmp,NA,NA,NA,NA,1,0.26269,NA,NA
49,1,O_Lure_27.bmp,NA,NA,NA,NA,1,0.31325,NA,NA
