Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
246,4,O_Image_48.bmp,O_Lure_48.bmp,cone,3,1,1,1.0158,1,NA
247,4,O_Image_36.bmp,O_Lure_36.bmp,marble,3,2,2,0.62878,1,NA
248,4,S_Image_57.bmp,S_Lure_57.bmp,laundry,3,1,1,0.98476,1,NA
249,4,F_Image_10.bmp,F_Lure_10.bmp,flood,3,1,1,0.87084,1,NA
250,4,F_Image_20.bmp,F_Lure_20.bmp,ghost,3,1,2,0.76172,0,NA
251,4,O_Image_31.bmp,O_Lure_31.bmp,lever,3,1,1,1.0323,1,NA
252,4,S_Image_50.bmp,S_Lure_50.bmp,crumb,3,1,1,1.6924,1,NA
253,5,NA,NA,angel,NA,1,0,2.5005,0,1
254,5,NA,NA,black,NA,2,4,1.2189,0,1
255,5,NA,NA,animal,NA,1,2,0.46822,0,1
256,5,NA,NA,black,NA,2,2,0.90951,1,2
257,5,NA,NA,alcohol,NA,1,4,0.28718,0,1
258,5,NA,NA,giant,NA,2,3,0.51314,0,1
259,5,NA,NA,animal,NA,1,1,0.60253,1,2
260,5,NA,NA,giant,NA,2,0,2.5002,0,2
261,5,NA,NA,corpse,NA,2,1,0.63008,0,1
262,5,NA,NA,animal,NA,1,1,0.59164,1,3
263,5,NA,NA,alien,NA,2,4,0.6575,0,1
264,5,NA,NA,galaxy,NA,2,2,0.79597,1,1
265,5,NA,NA,cloud,NA,1,1,0.50135,1,1
266,5,NA,NA,hurricane,NA,2,4,0.99049,0,1
267,5,NA,NA,galaxy,NA,2,2,1.1768,1,2
268,5,NA,NA,cloud,NA,1,1,0.61829,1,2
269,5,NA,NA,harem,NA,1,2,0.46757,0,1
270,5,NA,NA,galaxy,NA,2,2,0.22909,1,3
271,6,O_Image_39.bmp,O_Lure_39.bmp,NA,3,2,2,1.888,1,NA
272,6,S_Image_49.bmp,S_Lure_49.bmp,NA,3,1,1,1.9631,1,NA
273,6,O_Image_31.bmp,O_Lure_31.bmp,NA,3,2,2,1.5464,1,NA
274,6,O_Image_44.bmp,O_Lure_44.bmp,NA,3,2,2,0.97835,1,NA
275,6,S_Image_64.bmp,S_Lure_64.bmp,NA,3,2,2,0.94597,1,NA
276,6,S_Image_50.bmp,S_Lure_50.bmp,NA,3,2,2,1.2583,1,NA
277,6,F_Image_9.bmp,F_Lure_9.bmp,NA,3,1,1,0.96595,1,NA
278,6,S_Image_61.bmp,S_Lure_61.bmp,NA,3,1,1,1.3897,1,NA
279,6,S_Image_57.bmp,S_Lure_57.bmp,NA,3,1,1,1.084,1,NA
280,6,O_Image_29.bmp,O_Lure_29.bmp,NA,3,2,2,0.88689,1,NA
281,6,F_Image_2.bmp,F_Lure_2.bmp,NA,3,2,2,1.0095,1,NA
282,6,S_Image_66.bmp,S_Lure_66.bmp,NA,3,1,1,1.4554,1,NA
283,6,F_Image_4.bmp,F_Lure_4.bmp,NA,3,1,1,0.71558,1,NA
284,6,O_Image_36.bmp,O_Lure_36.bmp,NA,3,1,1,1.1568,1,NA
285,6,F_Image_10.bmp,F_Lure_10.bmp,NA,3,1,1,1.0768,1,NA
286,6,O_Image_46.bmp,O_Lure_46.bmp,NA,3,2,2,0.72051,1,NA
287,6,S_Image_53.bmp,S_Lure_53.bmp,NA,3,1,1,0.78551,1,NA
288,6,F_Image_20.bmp,F_Lure_20.bmp,NA,3,1,1,0.9604,1,NA
289,6,O_Image_27.bmp,O_Lure_27.bmp,NA,3,1,1,0.7523,1,NA
290,6,S_Image_67.bmp,S_Lure_67.bmp,NA,3,2,2,0.94436,1,NA
291,6,F_Image_13.bmp,F_Lure_13.bmp,NA,3,2,1,1.4014,0,NA
