Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
1,1,F_Image_6.bmp,NA,NA,NA,NA,1,2.7843,NA,NA
2,1,S_Lure_54.bmp,NA,NA,NA,NA,1,2.9776,NA,NA
3,1,F_Lure_4.bmp,NA,NA,NA,NA,1,0.57568,NA,NA
4,1,O_Lure_41.bmp,NA,NA,NA,NA,1,0.78905,NA,NA
5,1,F_Lure_21.bmp,NA,NA,NA,NA,1,1.4012,NA,NA
6,1,S_Lure_63.bmp,NA,NA,NA,NA,1,0.75587,NA,NA
7,1,F_Image_7.bmp,NA,NA,NA,NA,1,0.82392,NA,NA
8,1,S_Lure_61.bmp,NA,NA,NA,NA,1,0.0094269,NA,NA
9,1,F_Image_2.bmp,NA,NA,NA,NA,1,0.61879,NA,NA
10,1,S_Lure_64.bmp,NA,NA,NA,NA,1,1.3001,NA,NA
11,1,F_Image_22.bmp,NA,NA,NA,NA,1,1.1702,NA,NA
12,1,F_Lure_1.bmp,NA,NA,NA,NA,1,0.45573,NA,NA
13,1,S_Lure_66.bmp,NA,NA,NA,NA,1,1.3456,NA,NA
14,1,O_Lure_25.bmp,NA,NA,NA,NA,1,0.38033,NA,NA
15,1,O_Lure_31.bmp,NA,NA,NA,NA,1,1.6157,NA,NA
16,1,S_Image_60.bmp,NA,NA,NA,NA,1,0.70399,NA,NA
17,1,S_Image_68.bmp,NA,NA,NA,NA,1,0.12453,NA,NA
18,1,O_Lure_29.bmp,NA,NA,NA,NA,1,0.46455,NA,NA
19,1,S_Lure_70.bmp,NA,NA,NA,NA,1,1.352,NA,NA
20,1,S_Lure_56.bmp,NA,NA,NA,NA,1,0.77068,NA,NA
21,1,F_Image_8.bmp,NA,NA,NA,NA,1,0.50822,NA,NA
22,1,S_Image_50.bmp,NA,NA,NA,NA,1,0.92361,NA,NA
23,1,S_Lure_51.bmp,NA,NA,NA,NA,1,0.90635,NA,NA
24,1,F_Image_18.bmp,NA,NA,NA,NA,1,0.75965,NA,NA
25,1,S_Image_56.bmp,NA,NA,NA,NA,1,1.0984,NA,NA
26,1,F_Image_16.bmp,NA,NA,NA,NA,1,1.7057,NA,NA
27,1,O_Image_48.bmp,NA,NA,NA,NA,1,0.00011591,NA,NA
28,1,O_Lure_40.bmp,NA,NA,NA,NA,1,1.7539,NA,NA
29,1,O_Image_43.bmp,NA,NA,NA,NA,1,0.1427,NA,NA
30,1,S_Image_67.bmp,NA,NA,NA,NA,1,0.50683,NA,NA
31,1,S_Image_49.bmp,NA,NA,NA,NA,1,2.7766,NA,NA
32,1,S_Image_51.bmp,NA,NA,NA,NA,1,0.25612,NA,NA
33,1,O_Image_46.bmp,NA,NA,NA,NA,1,0.57284,NA,NA
34,1,F_Lure_14.bmp,NA,NA,NA,NA,1,0.04289,NA,NA
35,1,F_Image_3.bmp,NA,NA,NA,NA,1,2.3422,NA,NA
36,1,F_Lure_9.bmp,NA,NA,NA,NA,1,0.2217,NA,NA
37,1,S_Lure_52.bmp,NA,NA,NA,NA,1,1.3065,NA,NA
38,1,S_Image_61.bmp,NA,NA,NA,NA,1,0.47645,NA,NA
39,1,O_Lure_26.bmp,NA,NA,NA,NA,1,0.13387,NA,NA
40,1,S_Image_64.bmp,NA,NA,NA,NA,1,0.091982,NA,NA
41,1,F_Lure_2.bmp,NA,NA,NA,NA,1,0.47018,NA,NA
42,1,F_Image_14.bmp,NA,NA,NA,NA,1,0.69402,NA,NA
43,1,S_Image_69.bmp,NA,NA,NA,NA,1,0.00011531,NA,NA
44,1,O_Image_44.bmp,NA,NA,NA,NA,1,1.2603,NA,NA
45,1,O_Image_28.bmp,NA,NA,NA,NA,1,0.00011561,NA,NA
46,1,S_Image_53.bmp,NA,NA,NA,NA,1,1.0649,NA,NA
47,1,S_Image_70.bmp,NA,NA,NA,NA,1,0.30687,NA,NA
48,1,O_Lure_38.bmp,NA,NA,NA,NA,1,0.00011802,NA,NA
49,1,O_Lure_27.bmp,NA,NA,NA,NA,1,0.45051,NA,NA
50,1,O_Image_37.bmp,NA,NA,NA,NA,1,0.47703,NA,NA
51,1,F_Image_4.bmp,NA,NA,NA,NA,1,0.0001147,NA,NA
52,1,F_Lure_19.bmp,NA,NA,NA,NA,1,0.00011621,NA,NA
53,1,F_Image_19.bmp,NA,NA,NA,NA,1,0.00015395,NA,NA
54,1,O_Image_34.bmp,NA,NA,NA,NA,1,0.0001135,NA,NA
55,1,F_Lure_18.bmp,NA,NA,NA,NA,1,0.030552,NA,NA
56,1,S_Image_62.bmp,NA,NA,NA,NA,1,1.8334,NA,NA
57,1,S_Image_71.bmp,NA,NA,NA,NA,1,0.33141,NA,NA
58,1,S_Image_55.bmp,NA,NA,NA,NA,1,0.16158,NA,NA
59,1,S_Image_52.bmp,NA,NA,NA,NA,1,0.73551,NA,NA
60,1,O_Image_26.bmp,NA,NA,NA,NA,1,0.37425,NA,NA
61,1,S_Image_59.bmp,NA,NA,NA,NA,1,0.50709,NA,NA
62,1,O_Image_27.bmp,NA,NA,NA,NA,1,0.41254,NA,NA
63,1,F_Image_12.bmp,NA,NA,NA,NA,1,0.50242,NA,NA
64,1,F_Lure_10.bmp,NA,NA,NA,NA,1,0.39701,NA,NA
65,1,O_Image_45.bmp,NA,NA,NA,NA,1,0.34783,NA,NA
66,1,S_Lure_60.bmp,NA,NA,NA,NA,1,0.55843,NA,NA
67,1,O_Lure_44.bmp,NA,NA,NA,NA,1,0.017212,NA,NA
68,1,O_Image_25.bmp,NA,NA,NA,NA,1,0.059315,NA,NA
69,1,F_Lure_7.bmp,NA,NA,NA,NA,1,0.75483,NA,NA
70,1,F_Lure_15.bmp,NA,NA,NA,NA,1,0.085442,NA,NA
71,1,S_Lure_55.bmp,NA,NA,NA,NA,1,0.1008,NA,NA
72,1,O_Lure_33.bmp,NA,NA,NA,NA,1,0.00011531,NA,NA
73,1,O_Lure_43.bmp,NA,NA,NA,NA,1,0.1596,NA,NA
74,1,S_Lure_59.bmp,NA,NA,NA,NA,1,1.5568,NA,NA
75,1,S_Image_72.bmp,NA,NA,NA,NA,1,0.46625,NA,NA
76,1,O_Image_29.bmp,NA,NA,NA,NA,1,0.00011531,NA,NA
