Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
1,1,F_Image_6.bmp,NA,NA,NA,NA,1,0.47482,NA,NA
2,1,S_Lure_54.bmp,NA,NA,NA,NA,1,1.4448,NA,NA
3,1,F_Lure_4.bmp,NA,NA,NA,NA,1,0.1142,NA,NA
4,1,O_Lure_41.bmp,NA,NA,NA,NA,1,7.6367,NA,NA
5,1,F_Lure_21.bmp,NA,NA,NA,NA,1,0.54639,NA,NA
6,1,S_Lure_63.bmp,NA,NA,NA,NA,1,0.35521,NA,NA
7,1,F_Image_7.bmp,NA,NA,NA,NA,1,0.56344,NA,NA
8,1,S_Lure_61.bmp,NA,NA,NA,NA,1,0.23458,NA,NA
9,1,F_Image_2.bmp,NA,NA,NA,NA,1,3.9199,NA,NA
10,1,S_Lure_64.bmp,NA,NA,NA,NA,1,0.21872,NA,NA
11,1,F_Image_22.bmp,NA,NA,NA,NA,1,0.40027,NA,NA
12,1,F_Lure_1.bmp,NA,NA,NA,NA,1,3.3501,NA,NA
13,1,S_Lure_66.bmp,NA,NA,NA,NA,1,2.5022,NA,NA
14,1,O_Lure_25.bmp,NA,NA,NA,NA,1,0.68098,NA,NA
15,1,O_Lure_31.bmp,NA,NA,NA,NA,1,0.17243,NA,NA
16,1,S_Image_60.bmp,NA,NA,NA,NA,1,0.10044,NA,NA
17,1,S_Image_68.bmp,NA,NA,NA,NA,1,0.1673,NA,NA
18,1,O_Lure_29.bmp,NA,NA,NA,NA,1,1.3033,NA,NA
19,1,S_Lure_70.bmp,NA,NA,NA,NA,1,0.27395,NA,NA
20,1,S_Lure_56.bmp,NA,NA,NA,NA,1,0.8694,NA,NA
21,1,F_Image_8.bmp,NA,NA,NA,NA,1,0.7214,NA,NA
22,1,S_Image_50.bmp,NA,NA,NA,NA,1,0.47605,NA,NA
23,1,S_Lure_51.bmp,NA,NA,NA,NA,1,1.3361,NA,NA
24,1,F_Image_18.bmp,NA,NA,NA,NA,1,0.1302,NA,NA
25,1,S_Image_56.bmp,NA,NA,NA,NA,1,0.18838,NA,NA
26,1,F_Image_16.bmp,NA,NA,NA,NA,1,0.020393,NA,NA
27,1,O_Image_48.bmp,NA,NA,NA,NA,1,0.51432,NA,NA
28,1,O_Lure_40.bmp,NA,NA,NA,NA,1,0.0765,NA,NA
29,1,O_Image_43.bmp,NA,NA,NA,NA,1,0.1045,NA,NA
30,1,S_Image_67.bmp,NA,NA,NA,NA,1,0.15524,NA,NA
31,1,S_Image_49.bmp,NA,NA,NA,NA,1,0.011917,NA,NA
32,1,S_Image_51.bmp,NA,NA,NA,NA,1,0.00011621,NA,NA
33,1,O_Image_46.bmp,NA,NA,NA,NA,1,0.060183,NA,NA
34,1,F_Lure_14.bmp,NA,NA,NA,NA,1,0.00012316,NA,NA
35,1,F_Image_3.bmp,NA,NA,NA,NA,1,1.5607,NA,NA
36,1,F_Lure_9.bmp,NA,NA,NA,NA,1,2.0093,NA,NA
37,1,S_Lure_52.bmp,NA,NA,NA,NA,1,0.53481,NA,NA
38,1,S_Image_61.bmp,NA,NA,NA,NA,1,0.55161,NA,NA
39,1,O_Lure_26.bmp,NA,NA,NA,NA,1,2.4322,NA,NA
