Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
1,1,F_Image_6.bmp,NA,NA,NA,NA,1,11.0393,NA,NA
2,1,S_Lure_54.bmp,NA,NA,NA,NA,1,0.10658,NA,NA
3,1,F_Lure_4.bmp,NA,NA,NA,NA,1,1.9078,NA,NA
4,1,O_Lure_41.bmp,NA,NA,NA,NA,1,1.8698,NA,NA
5,1,F_Lure_21.bmp,NA,NA,NA,NA,1,0.00011531,NA,NA
6,1,S_Lure_63.bmp,NA,NA,NA,NA,1,2.7429,NA,NA
7,1,F_Image_7.bmp,NA,NA,NA,NA,1,2.575,NA,NA
8,1,S_Lure_61.bmp,NA,NA,NA,NA,1,0.96568,NA,NA
9,1,F_Image_2.bmp,NA,NA,NA,NA,1,0.32427,NA,NA
10,1,S_Lure_64.bmp,NA,NA,NA,NA,1,0.30976,NA,NA
11,1,F_Image_22.bmp,NA,NA,NA,NA,1,0.28662,NA,NA
12,1,F_Lure_1.bmp,NA,NA,NA,NA,1,0.00011652,NA,NA
13,1,S_Lure_66.bmp,NA,NA,NA,NA,1,0.30466,NA,NA
14,1,O_Lure_25.bmp,NA,NA,NA,NA,1,0.39453,NA,NA
15,1,O_Lure_31.bmp,NA,NA,NA,NA,1,0.82516,NA,NA
16,1,S_Image_60.bmp,NA,NA,NA,NA,1,0.6374,NA,NA
17,1,S_Image_68.bmp,NA,NA,NA,NA,1,0.26465,NA,NA
18,1,O_Lure_29.bmp,NA,NA,NA,NA,1,0.44408,NA,NA
19,1,S_Lure_70.bmp,NA,NA,NA,NA,1,0.59881,NA,NA
20,1,S_Lure_56.bmp,NA,NA,NA,NA,1,0.72415,NA,NA
21,1,F_Image_8.bmp,NA,NA,NA,NA,1,0.054321,NA,NA
22,1,S_Image_50.bmp,NA,NA,NA,NA,1,1.163,NA,NA
23,1,S_Lure_51.bmp,NA,NA,NA,NA,1,0.92967,NA,NA
24,1,F_Image_18.bmp,NA,NA,NA,NA,1,0.00011712,NA,NA
25,1,S_Image_56.bmp,NA,NA,NA,NA,1,0.33783,NA,NA
26,1,F_Image_16.bmp,NA,NA,NA,NA,1,0.28912,NA,NA
27,1,O_Image_48.bmp,NA,NA,NA,NA,1,2.37,NA,NA
28,1,O_Lure_40.bmp,NA,NA,NA,NA,1,1.9846,NA,NA
29,1,O_Image_43.bmp,NA,NA,NA,NA,1,0.75941,NA,NA
30,1,S_Image_67.bmp,NA,NA,NA,NA,1,0.85543,NA,NA
31,1,S_Image_49.bmp,NA,NA,NA,NA,1,0.25155,NA,NA
32,1,S_Image_51.bmp,NA,NA,NA,NA,1,0.38429,NA,NA
33,1,O_Image_46.bmp,NA,NA,NA,NA,1,1.6224,NA,NA
34,1,F_Lure_14.bmp,NA,NA,NA,NA,2,1.9555,NA,NA
35,1,F_Image_3.bmp,NA,NA,NA,NA,1,3.449,NA,NA
36,1,F_Lure_9.bmp,NA,NA,NA,NA,2,3.683,NA,NA
37,1,S_Lure_52.bmp,NA,NA,NA,NA,1,9.0924,NA,NA
38,1,S_Image_61.bmp,NA,NA,NA,NA,2,2.7001,NA,NA
39,1,O_Lure_26.bmp,NA,NA,NA,NA,1,0.77304,NA,NA
40,1,S_Image_64.bmp,NA,NA,NA,NA,2,0.55573,NA,NA
41,1,F_Lure_2.bmp,NA,NA,NA,NA,2,0.00011833,NA,NA
42,1,F_Image_14.bmp,NA,NA,NA,NA,2,2.1757,NA,NA
43,1,S_Image_69.bmp,NA,NA,NA,NA,1,3.8459,NA,NA
44,1,O_Image_44.bmp,NA,NA,NA,NA,1,0.61796,NA,NA
45,1,O_Image_28.bmp,NA,NA,NA,NA,1,4.8393,NA,NA
46,1,S_Image_53.bmp,NA,NA,NA,NA,1,0.29877,NA,NA
47,1,S_Image_70.bmp,NA,NA,NA,NA,2,0.34817,NA,NA
48,1,O_Lure_38.bmp,NA,NA,NA,NA,1,2.5874,NA,NA
49,1,O_Lure_27.bmp,NA,NA,NA,NA,1,0.51419,NA,NA
50,1,O_Image_37.bmp,NA,NA,NA,NA,1,5.2829,NA,NA
51,1,F_Image_4.bmp,NA,NA,NA,NA,2,0.65328,NA,NA
52,1,F_Lure_19.bmp,NA,NA,NA,NA,1,0.28851,NA,NA
53,1,F_Image_19.bmp,NA,NA,NA,NA,2,0.057903,NA,NA
54,1,O_Image_34.bmp,NA,NA,NA,NA,1,1.2124,NA,NA
55,1,F_Lure_18.bmp,NA,NA,NA,NA,2,0.0073091,NA,NA
56,1,S_Image_62.bmp,NA,NA,NA,NA,1,0.52331,NA,NA
57,1,S_Image_71.bmp,NA,NA,NA,NA,1,0.42005,NA,NA
58,1,S_Image_55.bmp,NA,NA,NA,NA,1,5.8333,NA,NA
59,1,S_Image_52.bmp,NA,NA,NA,NA,2,0.070261,NA,NA
60,1,O_Image_26.bmp,NA,NA,NA,NA,2,0.40909,NA,NA
61,1,S_Image_59.bmp,NA,NA,NA,NA,1,3.3014,NA,NA
