Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
1,1,F_Image_6.bmp,NA,NA,NA,NA,1,2.952,NA,NA
2,1,S_Lure_54.bmp,NA,NA,NA,NA,1,0.30136,NA,NA
3,1,F_Lure_4.bmp,NA,NA,NA,NA,1,0.73281,NA,NA
4,1,O_Lure_41.bmp,NA,NA,NA,NA,1,0.028784,NA,NA
5,1,F_Lure_21.bmp,NA,NA,NA,NA,1,0.1514,NA,NA
6,1,S_Lure_63.bmp,NA,NA,NA,NA,1,0.39554,NA,NA
7,1,F_Image_7.bmp,NA,NA,NA,NA,2,4.238,NA,NA
8,1,S_Lure_61.bmp,NA,NA,NA,NA,1,4.0943,NA,NA
9,1,F_Image_2.bmp,NA,NA,NA,NA,1,0.98101,NA,NA
10,1,S_Lure_64.bmp,NA,NA,NA,NA,1,0.72121,NA,NA
11,1,F_Image_22.bmp,NA,NA,NA,NA,1,0.52723,NA,NA
12,1,F_Lure_1.bmp,NA,NA,NA,NA,1,0.95803,NA,NA
13,1,S_Lure_66.bmp,NA,NA,NA,NA,1,2.3649,NA,NA
14,1,O_Lure_25.bmp,NA,NA,NA,NA,1,0.10531,NA,NA
15,1,O_Lure_31.bmp,NA,NA,NA,NA,1,3.8072,NA,NA
16,1,S_Image_60.bmp,NA,NA,NA,NA,1,1.482,NA,NA
17,1,S_Image_68.bmp,NA,NA,NA,NA,1,0.60088,NA,NA
18,1,O_Lure_29.bmp,NA,NA,NA,NA,1,0.00014821,NA,NA
19,1,S_Lure_70.bmp,NA,NA,NA,NA,1,1.6608,NA,NA
20,1,S_Lure_56.bmp,NA,NA,NA,NA,1,1.7183,NA,NA
21,1,F_Image_8.bmp,NA,NA,NA,NA,1,0.55703,NA,NA
22,1,S_Image_50.bmp,NA,NA,NA,NA,1,9.8333,NA,NA
23,1,S_Lure_51.bmp,NA,NA,NA,NA,1,1.9472,NA,NA
24,1,F_Image_18.bmp,NA,NA,NA,NA,1,0.71196,NA,NA
25,1,S_Image_56.bmp,NA,NA,NA,NA,1,6.6937,NA,NA
26,1,F_Image_16.bmp,NA,NA,NA,NA,1,3.0306,NA,NA
27,1,O_Image_48.bmp,NA,NA,NA,NA,1,1.3929,NA,NA
28,1,O_Lure_40.bmp,NA,NA,NA,NA,1,0.66913,NA,NA
29,1,O_Image_43.bmp,NA,NA,NA,NA,1,0.37226,NA,NA
30,1,S_Image_67.bmp,NA,NA,NA,NA,1,5.928,NA,NA
31,1,S_Image_49.bmp,NA,NA,NA,NA,1,0.72571,NA,NA
32,1,S_Image_51.bmp,NA,NA,NA,NA,1,0.81132,NA,NA
33,1,O_Image_46.bmp,NA,NA,NA,NA,1,0.66126,NA,NA
