picID	 fileAB	 fileAC	 ;
"F25_P6_RP"	"BritneySpears2.bmp"	"KingsCollege1.bmp"	;
"F33_P12_RP"	"MichaelJackson2.bmp"	"SistineChapel1.bmp"	;
"F27_P13_RP"	"KateMoss1.bmp"	"BigBen1.bmp"	;
"F44_P37_C"	"WillSmith1.bmp"	"AngkorWat2.bmp"	;
"F30_P3_RP"	"NikolaSarkozy1.bmp"	"Akropolis1.bmp"	;
"F24_P2_RP"	"AmyWinehouse1.bmp"	"ForbiddenCity1.bmp"	;
"F31_P15_RP"	"AlbertEinstein2.bmp"	"Stonehenge2.bmp"	;
"F46_P38_C"	"ScarlettJohansson2.bmp"	"GreatWall1.bmp"	;
"F26_P5_RP"	"BradPitt1.bmp"	"MountRushmore2.bmp"	;
"F23_P10_RP"	"CharlieChaplin2.bmp"	"RedSquare1.bmp"	;
"F28_P1_RP"	"BarackObama2.bmp"	"Alcatraz2.bmp"	;
"F48_P39_C"	"DavidBeckham1.bmp"	"NotreDame1.bmp"	;
"F32_O11_RP"	"DanielCraig2.bmp"	"Watch1.bmp"	;
"F21_O18_RP"	"KateWinslet1.bmp"	"Stapler2.bmp"	;
"F22_O14_RP"	"WayneRooney2.bmp"	"Hammock1.bmp"	;
"F47_O38_C"	"ElvisPresley1.bmp"	"Barbecue1.bmp"	;
"F19_O4_RP"	"JackNicholson1.bmp"	"Football1.bmp"	;
"F35_O3_RP"	"JudiDench2.bmp"	"Scale1.bmp"	;
"F29_O8_RP"	"PierceBrosnan2.bmp"	"Ladder2.bmp"	;
"F45_O42_C"	"MahadmaGandhi2.bmp"	"Anchor1.bmp"	;
"F34_O13_RP"	"DanielRadcliffe2.bmp"	"Binoculars2.bmp"	;
"F36_O1_RP"	"MickJagger2.bmp"	"Telephone2.bmp"	;
"F20_O16_RP"	"GeorgeClooney2.bmp"	"Razor1.bmp"	;
"F43_O37_C"	"GeorgeBush1.bmp"	"Hat1.bmp"	;
"P20_F7_RP"	"GoldenGateBridge2.bmp"	"RobbieWilliams2.bmp"	;
"P36_F14_RP"	"SydneyOpera1.bmp"	"JohnLennon2.bmp"	;
"P32_F13_RP"	"TowerBridge1.bmp"	"NelsonMandela1.bmp"	;
"P46_F37_C"	"Versailles1.bmp"	"BillClinton2.bmp"	;
"P33_F12_RP"	"Mecca2.bmp"	"QueenElisabeth1.bmp"	;
"P26_F1_RP"	"RialtoBridge2.bmp"	"LeonardoDiCaprio1.bmp"	;
"P30_F6_RP"	"Colosseum2.bmp"	"JenniferLopez2.bmp"	;
"P47_F41_C"	"SagradaFamilia2.bmp"	"PrinceWilliam1.bmp"	;
"P29_F11_RP"	"StatueOfLiberty2.bmp"	"MotherTeresa2.bmp"	;
"P21_F17_RP"	"HagiaSophia1.bmp"	"MerylStreep2.bmp"	;
"P23_F16_RP"	"GizehPyramids2.bmp"	"EltonJohn1.bmp"	;
"P48_F39_C"	"GrandCanyon1.bmp"	"MargaretThatcher2.bmp"	;
"P28_O7_RP"	"MontSaintMichel2.bmp"	"Headphones2.bmp"	;
"P34_O5_RP"	"NeuschwansteinCastle1.bmp"	"Torch2.bmp"	;
"P31_O17_RP"	"NiagaraFalls2.bmp"	"Belt1.bmp"	;
"P45_O40_C"	"MountFuji2.bmp"	"Teddybear2.bmp"	;
"P22_O2_RP"	"TimeSquare1.bmp"	"Bed2.bmp"	;
"P19_O9_RP"	"TajMahal2.bmp"	"Shoe1.bmp"	;
"P27_O12_RP"	"Alhambra1.bmp"	"Goggles2.bmp"	;
"P44_O39_C"	"Louvre1.bmp"	"Mirror2.bmp"	;
"P24_O6_RP"	"ChichenItza2.bmp"	"Wineglass2.bmp"	;
"P35_O15_RP"	"PotalaPalace2.bmp"	"FryingPan1.bmp"	;
"P25_O10_RP"	"SaharaDesert1.bmp"	"Broom2.bmp"	;
"P43_O41_C"	"MachuPicchu2.bmp"	"Key2.bmp"	;
"O36_F10_RP"	"GrandPiano1.bmp"	"HughGrant1.bmp"	;
"O30_F18_RP"	"Umbrella1.bmp"	"AngelaMerkel2.bmp"	;
"O32_F2_RP"	"Bicycle2.bmp"	"MarilynMonroe1.bmp"	;
"O44_F42_C"	"Radio2.bmp"	"Madonna2.bmp"	;
"O33_F4_RP"	"Skirt2.bmp"	"TonyBlair1.bmp"	;
"O19_F15_RP"	"Microscope2.bmp"	"FidelCastro1.bmp"	;
"O23_F9_RP"	"Pillows2.bmp"	"WhoopiGoldberg2.bmp"	;
"O46_F40_C"	"Rope1.bmp"	"JuliaRoberts1.bmp"	;
"O21_F5_RP"	"RemoteControl2.bmp"	"TomCruise1.bmp"	;
"O22_F3_RP"	"Globe1.bmp"	"BillGates1.bmp"	;
