picID	 fileAB	 fileAC	 ;
"F25_P6_RP"	"BritneySpears1.bmp"	"KingsCollege2.bmp"	;
"F33_P12_RP"	"MichaelJackson1.bmp"	"SistineChapel2.bmp"	;
"F27_P13_RP"	"KateMoss2.bmp"	"BigBen2.bmp"	;
"F44_P37_C"	"WillSmith2.bmp"	"AngkorWat1.bmp"	;
"F30_P3_RP"	"NikolaSarkozy2.bmp"	"Akropolis2.bmp"	;
"F24_P2_RP"	"AmyWinehouse2.bmp"	"ForbiddenCity2.bmp"	;
"F31_P15_RP"	"AlbertEinstein1.bmp"	"Stonehenge1.bmp"	;
"F46_P38_C"	"ScarlettJohansson1.bmp"	"GreatWall2.bmp"	;
"F26_P5_RP"	"BradPitt2.bmp"	"MountRushmore1.bmp"	;
"F23_P10_RP"	"CharlieChaplin1.bmp"	"RedSquare2.bmp"	;
"F28_P1_RP"	"BarackObama1.bmp"	"Alcatraz1.bmp"	;
"F48_P39_C"	"DavidBeckham2.bmp"	"NotreDame2.bmp"	;
"F32_O11_RP"	"DanielCraig1.bmp"	"Watch2.bmp"	;
"F21_O18_RP"	"KateWinslet2.bmp"	"Stapler1.bmp"	;
"F22_O14_RP"	"WayneRooney1.bmp"	"Hammock2.bmp"	;
"F47_O38_C"	"ElvisPresley2.bmp"	"Barbecue2.bmp"	;
"F19_O4_RP"	"JackNicholson2.bmp"	"Football2.bmp"	;
"F35_O3_RP"	"JudiDench1.bmp"	"Scale2.bmp"	;
"F29_O8_RP"	"PierceBrosnan1.bmp"	"Ladder1.bmp"	;
"F45_O42_C"	"MahadmaGandhi1.bmp"	"Anchor2.bmp"	;
"F34_O13_RP"	"DanielRadcliffe1.bmp"	"Binoculars1.bmp"	;
"F36_O1_RP"	"MickJagger1.bmp"	"Telephone1.bmp"	;
"F20_O16_RP"	"GeorgeClooney1.bmp"	"Razor2.bmp"	;
"F43_O37_C"	"GeorgeBush2.bmp"	"Hat2.bmp"	;
"P20_F7_RP"	"GoldenGateBridge1.bmp"	"RobbieWilliams1.bmp"	;
"P36_F14_RP"	"SydneyOpera2.bmp"	"JohnLennon1.bmp"	;
"P32_F13_RP"	"TowerBridge2.bmp"	"NelsonMandela2.bmp"	;
"P46_F37_C"	"Versailles2.bmp"	"BillClinton1.bmp"	;
"P33_F12_RP"	"Mecca1.bmp"	"QueenElisabeth2.bmp"	;
"P26_F1_RP"	"RialtoBridge1.bmp"	"LeonardoDiCaprio2.bmp"	;
"P30_F6_RP"	"Colosseum1.bmp"	"JenniferLopez1.bmp"	;
"P47_F41_C"	"SagradaFamilia1.bmp"	"PrinceWilliam2.bmp"	;
"P29_F11_RP"	"StatueOfLiberty1.bmp"	"MotherTeresa1.bmp"	;
"P21_F17_RP"	"HagiaSophia2.bmp"	"MerylStreep1.bmp"	;
"P23_F16_RP"	"GizehPyramids1.bmp"	"EltonJohn2.bmp"	;
"P48_F39_C"	"GrandCanyon2.bmp"	"MargaretThatcher1.bmp"	;
"P28_O7_RP"	"MontSaintMichel1.bmp"	"Headphones1.bmp"	;
"P34_O5_RP"	"NeuschwansteinCastle2.bmp"	"Torch1.bmp"	;
"P31_O17_RP"	"NiagaraFalls1.bmp"	"Belt2.bmp"	;
"P45_O40_C"	"MountFuji1.bmp"	"Teddybear1.bmp"	;
"P22_O2_RP"	"TimeSquare2.bmp"	"Bed1.bmp"	;
"P19_O9_RP"	"TajMahal1.bmp"	"Shoe2.bmp"	;
"P27_O12_RP"	"Alhambra2.bmp"	"Goggles1.bmp"	;
"P44_O39_C"	"Louvre2.bmp"	"Mirror1.bmp"	;
"P24_O6_RP"	"ChichenItza1.bmp"	"Wineglass1.bmp"	;
"P35_O15_RP"	"PotalaPalace1.bmp"	"FryingPan2.bmp"	;
"P25_O10_RP"	"SaharaDesert2.bmp"	"Broom1.bmp"	;
"P43_O41_C"	"MachuPicchu1.bmp"	"Key1.bmp"	;
"O36_F10_RP"	"GrandPiano2.bmp"	"HughGrant2.bmp"	;
"O30_F18_RP"	"Umbrella2.bmp"	"AngelaMerkel1.bmp"	;
"O32_F2_RP"	"Bicycle1.bmp"	"MarilynMonroe2.bmp"	;
"O44_F42_C"	"Radio1.bmp"	"Madonna1.bmp"	;
