Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,113,NA,NA,NA,2,10.6425,NA,NA,S_Lure_113.bmp,0,0,3
2,1,43,NA,NA,NA,2,4.6672,NA,NA,F_Lure_43.bmp,0,1,1
3,1,68,NA,NA,NA,2,3.218,NA,NA,O_Image_68.bmp,2,0,2
4,1,76,NA,NA,NA,2,1.2508,NA,NA,O_Lure_76.bmp,0,0,2
5,1,80,NA,NA,NA,2,1.3969,NA,NA,O_Lure_80.bmp,0,1,2
6,1,12,NA,NA,NA,1,0.28098,NA,NA,F_Image_12.bmp,1,0,1
7,1,88,NA,NA,NA,2,1.0077,NA,NA,O_Lure_88.bmp,0,0,2
8,1,130,NA,NA,NA,1,6.9798,NA,NA,S_Lure_130.bmp,0,1,3
9,1,97,NA,NA,NA,1,7.4029,NA,NA,S_Lure_97.bmp,0,1,3
10,1,99,NA,NA,NA,1,5.9431,NA,NA,S_Image_99.bmp,2,1,3
11,1,114,NA,NA,NA,2,1.5633,NA,NA,S_Image_114.bmp,2,1,3
12,1,52,NA,NA,NA,2,4.208,NA,NA,O_Image_52.bmp,2,1,2
13,1,80,NA,NA,NA,2,2.4888,NA,NA,O_Image_80.bmp,1,1,2
14,1,20,NA,NA,NA,2,1.3822,NA,NA,F_Image_20.bmp,2,0,1
15,1,74,NA,NA,NA,2,1.2057,NA,NA,O_Lure_74.bmp,0,1,2
16,1,33,NA,NA,NA,1,3.6658,NA,NA,F_Image_33.bmp,2,0,1
17,1,138,NA,NA,NA,2,4.8031,NA,NA,S_Lure_138.bmp,0,1,3
18,1,68,NA,NA,NA,2,0.86116,NA,NA,O_Lure_68.bmp,0,0,2
19,1,123,NA,NA,NA,1,2.0237,NA,NA,S_Image_123.bmp,2,0,3
20,1,14,NA,NA,NA,2,0.252,NA,NA,F_Image_14.bmp,2,0,1
21,1,19,NA,NA,NA,1,0.82683,NA,NA,F_Image_19.bmp,1,1,1
22,1,65,NA,NA,NA,2,6.6351,NA,NA,O_Lure_65.bmp,0,0,2
23,1,89,NA,NA,NA,2,0.30641,NA,NA,O_Lure_89.bmp,0,0,2
24,1,101,NA,NA,NA,1,1.5626,NA,NA,S_Image_101.bmp,1,0,3
25,1,84,NA,NA,NA,2,1.625,NA,NA,O_Image_84.bmp,2,1,2
26,1,20,NA,NA,NA,2,0.83364,NA,NA,F_Lure_20.bmp,0,0,1
27,1,74,NA,NA,NA,2,3.9876,NA,NA,O_Image_74.bmp,1,1,2
28,1,106,NA,NA,NA,2,2.9044,NA,NA,S_Image_106.bmp,1,0,3
29,1,54,NA,NA,NA,2,1.0672,NA,NA,O_Image_54.bmp,1,0,2
30,1,116,NA,NA,NA,2,0.25526,NA,NA,S_Lure_116.bmp,0,0,3
31,1,84,NA,NA,NA,2,0.060667,NA,NA,O_Lure_84.bmp,0,1,2
32,1,40,NA,NA,NA,1,0.35209,NA,NA,F_Lure_40.bmp,0,1,1
33,1,134,NA,NA,NA,1,0.58692,NA,NA,S_Lure_134.bmp,0,1,3
34,1,142,NA,NA,NA,2,2.2642,NA,NA,S_Lure_142.bmp,0,0,3
35,1,59,NA,NA,NA,2,0.00012466,NA,NA,O_Lure_59.bmp,0,0,2
36,1,96,NA,NA,NA,2,2.0122,NA,NA,O_Image_96.bmp,2,1,2
37,1,87,NA,NA,NA,2,0.44446,NA,NA,O_Lure_87.bmp,0,0,2
38,1,116,NA,NA,NA,2,2.0551,NA,NA,S_Image_116.bmp,1,0,3
39,1,87,NA,NA,NA,2,1.3665,NA,NA,O_Image_87.bmp,1,0,2
40,1,86,NA,NA,NA,2,2.435,NA,NA,O_Image_86.bmp,1,1,2
41,1,111,NA,NA,NA,2,2.4585,NA,NA,S_Lure_111.bmp,0,1,3
42,1,47,NA,NA,NA,2,0.00013462,NA,NA,F_Lure_47.bmp,0,1,1
43,1,13,NA,NA,NA,1,0.98613,NA,NA,F_Image_13.bmp,1,0,1
44,1,15,NA,NA,NA,1,1.1175,NA,NA,F_Lure_15.bmp,0,1,1
45,1,94,NA,NA,NA,2,3.3959,NA,NA,O_Image_94.bmp,2,1,2
46,1,72,NA,NA,NA,2,3.8327,NA,NA,O_Image_72.bmp,2,0,2
47,1,90,NA,NA,NA,2,0.75356,NA,NA,O_Image_90.bmp,1,1,2
48,1,34,NA,NA,NA,2,0.6603,NA,NA,F_Lure_34.bmp,0,0,1
49,1,73,NA,NA,NA,2,0.4164,NA,NA,O_Image_73.bmp,1,0,2
50,1,22,NA,NA,NA,1,0.00012497,NA,NA,F_Lure_22.bmp,0,1,1
51,1,6,NA,NA,NA,2,1.6603,NA,NA,F_Lure_6.bmp,0,1,1
52,1,100,NA,NA,NA,1,1.2385,NA,NA,S_Image_100.bmp,1,0,3
53,1,92,NA,NA,NA,2,0.00012678,NA,NA,O_Image_92.bmp,2,1,2
54,1,23,NA,NA,NA,2,0.11392,NA,NA,F_Lure_23.bmp,0,1,1
55,1,71,NA,NA,NA,2,0.00012527,NA,NA,O_Image_71.bmp,1,0,2
56,1,108,NA,NA,NA,1,0.86871,NA,NA,S_Lure_108.bmp,0,1,3
57,1,122,NA,NA,NA,1,1.4359,NA,NA,S_Image_122.bmp,2,1,3
58,1,92,NA,NA,NA,2,3.3426,NA,NA,O_Lure_92.bmp,0,1,2
59,1,4,NA,NA,NA,2,3.628,NA,NA,F_Lure_4.bmp,0,0,1
60,1,46,NA,NA,NA,1,1.3922,NA,NA,F_Image_46.bmp,2,0,1
61,1,36,NA,NA,NA,1,0.72629,NA,NA,F_Lure_36.bmp,0,1,1
62,1,70,NA,NA,NA,2,0.82035,NA,NA,O_Lure_70.bmp,0,1,2
63,1,100,NA,NA,NA,1,2.9669,NA,NA,S_Lure_100.bmp,0,0,3
64,1,49,NA,NA,NA,2,0.85041,NA,NA,O_Lure_49.bmp,0,1,2
65,1,40,NA,NA,NA,2,1.6118,NA,NA,F_Image_40.bmp,2,1,1
66,1,41,NA,NA,NA,1,0.89982,NA,NA,F_Lure_41.bmp,0,0,1
67,1,135,NA,NA,NA,2,0.37925,NA,NA,S_Lure_135.bmp,0,1,3
68,1,33,NA,NA,NA,2,1.1139,NA,NA,F_Lure_33.bmp,0,0,1
69,1,61,NA,NA,NA,2,1.2373,NA,NA,O_Lure_61.bmp,0,0,2
70,1,96,NA,NA,NA,2,1.4287,NA,NA,O_Lure_96.bmp,0,1,2
71,1,46,NA,NA,NA,1,0.33213,NA,NA,F_Lure_46.bmp,0,0,1
72,1,44,NA,NA,NA,2,0.058134,NA,NA,F_Image_44.bmp,2,0,1
73,1,17,NA,NA,NA,2,0.6902,NA,NA,F_Lure_17.bmp,0,0,1
74,1,62,NA,NA,NA,2,2.3781,NA,NA,O_Image_62.bmp,2,1,2
75,1,126,NA,NA,NA,1,0.59762,NA,NA,S_Image_126.bmp,2,1,3
76,1,98,NA,NA,NA,1,2.531,NA,NA,S_Image_98.bmp,2,0,3
77,1,32,NA,NA,NA,1,0.64845,NA,NA,F_Image_32.bmp,2,0,1
78,1,43,NA,NA,NA,2,1.0884,NA,NA,F_Image_43.bmp,1,1,1
79,1,103,NA,NA,NA,2,1.1311,NA,NA,S_Image_103.bmp,2,0,3
80,1,115,NA,NA,NA,1,0.46031,NA,NA,S_Image_115.bmp,2,0,3
81,1,124,NA,NA,NA,1,1.5144,NA,NA,S_Lure_124.bmp,0,0,3
82,1,48,NA,NA,NA,2,0.0080923,NA,NA,F_Lure_48.bmp,0,0,1
83,1,31,NA,NA,NA,2,1.3026,NA,NA,F_Lure_31.bmp,0,0,1
84,1,114,NA,NA,NA,2,0.29555,NA,NA,S_Lure_114.bmp,0,1,3
85,1,50,NA,NA,NA,2,0.00012557,NA,NA,O_Image_50.bmp,1,1,2
86,1,39,NA,NA,NA,1,0.00012738,NA,NA,F_Lure_39.bmp,0,1,1
87,1,29,NA,NA,NA,2,1.8101,NA,NA,F_Image_29.bmp,1,0,1
88,1,24,NA,NA,NA,2,0.26958,NA,NA,F_Image_24.bmp,2,1,1
89,1,129,NA,NA,NA,1,0.018199,NA,NA,S_Image_129.bmp,2,1,3
90,1,139,NA,NA,NA,1,1.1862,NA,NA,S_Image_139.bmp,2,1,3
91,1,69,NA,NA,NA,2,0.52571,NA,NA,O_Image_69.bmp,1,1,2
92,1,121,NA,NA,NA,1,0.68252,NA,NA,S_Lure_121.bmp,0,1,3
93,1,133,NA,NA,NA,1,2.7644,NA,NA,S_Image_133.bmp,2,0,3
94,1,7,NA,NA,NA,2,1.7837,NA,NA,F_Image_7.bmp,1,0,1
95,1,25,NA,NA,NA,2,2.6039,NA,NA,F_Lure_25.bmp,0,1,1
96,1,113,NA,NA,NA,2,1.0546,NA,NA,S_Image_113.bmp,1,0,3
97,1,27,NA,NA,NA,2,1.1664,NA,NA,F_Lure_27.bmp,0,1,1
98,1,131,NA,NA,NA,1,0.89012,NA,NA,S_Image_131.bmp,1,0,3
99,1,112,NA,NA,NA,2,0.28945,NA,NA,S_Image_112.bmp,1,0,3
100,1,106,NA,NA,NA,2,0.56686,NA,NA,S_Lure_106.bmp,0,0,3
101,1,10,NA,NA,NA,2,0.00012738,NA,NA,F_Lure_10.bmp,0,1,1
102,1,48,NA,NA,NA,2,2.0622,NA,NA,F_Image_48.bmp,2,0,1
103,1,128,NA,NA,NA,1,7.952,NA,NA,S_Lure_128.bmp,0,0,3
