Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,128,NA,NA,NA,2,3.0313,NA,NA,S_Image_128.bmp,1,0,3
2,1,16,NA,NA,NA,1,4.4614,NA,NA,F_Image_16.bmp,1,0,1
3,1,26,NA,NA,NA,1,1.4331,NA,NA,F_Lure_26.bmp,0,1,1
4,1,78,NA,NA,NA,1,1.5259,NA,NA,O_Lure_78.bmp,0,1,2
5,1,52,NA,NA,NA,1,0.00849,NA,NA,O_Lure_52.bmp,0,1,2
6,1,69,NA,NA,NA,1,1.4046,NA,NA,O_Image_69.bmp,1,0,2
7,1,124,NA,NA,NA,2,0.00013613,NA,NA,S_Lure_124.bmp,0,1,3
8,1,50,NA,NA,NA,1,0.35273,NA,NA,O_Lure_50.bmp,0,1,2
9,1,65,NA,NA,NA,1,0.098363,NA,NA,O_Image_65.bmp,2,1,2
10,1,114,NA,NA,NA,1,0.25951,NA,NA,S_Lure_114.bmp,0,0,3
11,1,100,NA,NA,NA,2,0.31102,NA,NA,S_Image_100.bmp,1,1,3
12,1,91,NA,NA,NA,1,0.20108,NA,NA,O_Image_91.bmp,1,0,2
13,1,141,NA,NA,NA,1,0.26385,NA,NA,S_Image_141.bmp,2,1,3
14,1,64,NA,NA,NA,1,0.075921,NA,NA,O_Image_64.bmp,1,1,2
15,1,22,NA,NA,NA,2,0.27059,NA,NA,F_Lure_22.bmp,0,0,1
16,1,40,NA,NA,NA,1,0.52937,NA,NA,F_Lure_40.bmp,0,0,1
17,1,120,NA,NA,NA,2,0.32271,NA,NA,S_Lure_120.bmp,0,1,3
18,1,81,NA,NA,NA,1,0.23604,NA,NA,O_Image_81.bmp,1,1,2
19,1,105,NA,NA,NA,2,0.2248,NA,NA,S_Lure_105.bmp,0,1,3
20,1,101,NA,NA,NA,2,0.30949,NA,NA,S_Lure_101.bmp,0,1,3
21,1,126,NA,NA,NA,2,0.45492,NA,NA,S_Lure_126.bmp,0,0,3
22,1,94,NA,NA,NA,1,0.23493,NA,NA,O_Lure_94.bmp,0,0,2
23,1,44,NA,NA,NA,1,0.29701,NA,NA,F_Image_44.bmp,2,1,1
24,1,138,NA,NA,NA,1,0.25106,NA,NA,S_Image_138.bmp,1,0,3
25,1,33,NA,NA,NA,1,0.23121,NA,NA,F_Lure_33.bmp,0,1,1
26,1,31,NA,NA,NA,1,0.067829,NA,NA,F_Image_31.bmp,1,0,1
27,1,91,NA,NA,NA,1,0.22252,NA,NA,O_Lure_91.bmp,0,0,2
28,1,42,NA,NA,NA,1,0.29991,NA,NA,F_Lure_42.bmp,0,0,1
29,1,139,NA,NA,NA,2,0.23732,NA,NA,S_Image_139.bmp,1,0,3
30,1,128,NA,NA,NA,2,0.45739,NA,NA,S_Lure_128.bmp,0,0,3
31,1,88,NA,NA,NA,1,0.060767,NA,NA,O_Lure_88.bmp,0,1,2
32,1,43,NA,NA,NA,1,0.27287,NA,NA,F_Lure_43.bmp,0,0,1
33,1,133,NA,NA,NA,2,0.18095,NA,NA,S_Lure_133.bmp,0,1,3
34,1,92,NA,NA,NA,1,0.25166,NA,NA,O_Image_92.bmp,1,0,2
35,1,111,NA,NA,NA,2,0.3285,NA,NA,S_Image_111.bmp,1,1,3
36,1,66,NA,NA,NA,1,0.20168,NA,NA,O_Image_66.bmp,1,1,2
37,1,70,NA,NA,NA,1,0.047044,NA,NA,O_Image_70.bmp,2,0,2
38,1,59,NA,NA,NA,1,0.29015,NA,NA,O_Lure_59.bmp,0,0,2
39,1,97,NA,NA,NA,2,0.24396,NA,NA,S_Image_97.bmp,1,0,3
40,1,6,NA,NA,NA,1,0.056535,NA,NA,F_Image_6.bmp,2,0,1
41,1,68,NA,NA,NA,1,0.00013342,NA,NA,O_Image_68.bmp,2,1,2
