Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,29,NA,NA,NA,1,3.0931,NA,NA,F_Image_29.bmp,2,0,1
2,1,122,NA,NA,NA,2,0.78047,NA,NA,S_Image_122.bmp,1,0,3
3,1,21,NA,NA,NA,1,0.54582,NA,NA,F_Lure_21.bmp,0,1,1
4,1,130,NA,NA,NA,2,0.52989,NA,NA,S_Lure_130.bmp,0,0,3
5,1,92,NA,NA,NA,1,0.52987,NA,NA,O_Lure_92.bmp,0,1,2
6,1,72,NA,NA,NA,1,0.4121,NA,NA,O_Image_72.bmp,1,0,2
7,1,75,NA,NA,NA,1,0.49727,NA,NA,O_Image_75.bmp,1,1,2
8,1,142,NA,NA,NA,2,0.77207,NA,NA,S_Lure_142.bmp,0,0,3
9,1,134,NA,NA,NA,2,0.73873,NA,NA,S_Lure_134.bmp,0,0,3
10,1,107,NA,NA,NA,1,0.74694,NA,NA,S_Image_107.bmp,1,0,3
11,1,22,NA,NA,NA,2,0.76944,NA,NA,F_Lure_22.bmp,0,0,1
12,1,5,NA,NA,NA,1,0.58585,NA,NA,F_Image_5.bmp,1,0,1
13,1,99,NA,NA,NA,1,0.72766,NA,NA,S_Lure_99.bmp,0,0,3
14,1,103,NA,NA,NA,1,0.56785,NA,NA,S_Image_103.bmp,1,0,3
15,1,22,NA,NA,NA,2,0.51922,NA,NA,F_Image_22.bmp,2,0,1
16,1,20,NA,NA,NA,1,0.51967,NA,NA,F_Lure_20.bmp,0,1,1
17,1,3,NA,NA,NA,2,0.64182,NA,NA,F_Image_3.bmp,1,0,1
18,1,44,NA,NA,NA,1,0.52603,NA,NA,F_Lure_44.bmp,0,0,1
19,1,105,NA,NA,NA,1,0.66915,NA,NA,S_Image_105.bmp,2,0,3
20,1,81,NA,NA,NA,1,0.55929,NA,NA,O_Image_81.bmp,2,0,2
21,1,95,NA,NA,NA,1,0.54996,NA,NA,O_Image_95.bmp,2,1,2
22,1,62,NA,NA,NA,1,0.51823,NA,NA,O_Image_62.bmp,1,1,2
23,1,33,NA,NA,NA,1,0.53485,NA,NA,F_Image_33.bmp,1,0,1
24,1,56,NA,NA,NA,1,1.3754,NA,NA,O_Lure_56.bmp,0,0,2
25,1,127,NA,NA,NA,1,0.71078,NA,NA,S_Image_127.bmp,2,1,3
26,1,116,NA,NA,NA,1,0.76832,NA,NA,S_Lure_116.bmp,0,0,3
27,1,61,NA,NA,NA,1,0.80014,NA,NA,O_Image_61.bmp,2,0,2
28,1,5,NA,NA,NA,1,0.59745,NA,NA,F_Lure_5.bmp,0,0,1
29,1,49,NA,NA,NA,1,0.8349,NA,NA,O_Lure_49.bmp,0,0,2
30,1,142,NA,NA,NA,1,0.5849,NA,NA,S_Image_142.bmp,1,0,3
31,1,47,NA,NA,NA,1,0.74365,NA,NA,F_Image_47.bmp,2,0,1
