Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,74,NA,NA,NA,1,1.0183,NA,NA,O_Lure_74.bmp,0,1,2
2,1,116,NA,NA,NA,1,0.30869,NA,NA,S_Lure_116.bmp,0,1,3
3,1,112,NA,NA,NA,1,1.3572,NA,NA,S_Lure_112.bmp,0,1,3
4,1,88,NA,NA,NA,1,0.37126,NA,NA,O_Image_88.bmp,1,0,2
5,1,39,NA,NA,NA,2,0.00012859,NA,NA,F_Lure_39.bmp,0,1,1
6,1,70,NA,NA,NA,1,0.0001476,NA,NA,O_Lure_70.bmp,0,1,2
7,1,15,NA,NA,NA,2,1.946,NA,NA,F_Lure_15.bmp,0,1,1
8,1,19,NA,NA,NA,2,1.8899,NA,NA,F_Lure_19.bmp,0,1,1
9,1,22,NA,NA,NA,1,2.4674,NA,NA,F_Image_22.bmp,1,1,1
10,1,80,NA,NA,NA,1,0.28632,NA,NA,O_Lure_80.bmp,0,0,2
11,1,142,NA,NA,NA,1,0.67383,NA,NA,S_Image_142.bmp,1,0,3
12,1,132,NA,NA,NA,2,0.28525,NA,NA,S_Image_132.bmp,2,1,3
13,1,38,NA,NA,NA,1,0.47772,NA,NA,F_Image_38.bmp,1,1,1
14,1,85,NA,NA,NA,1,0.28842,NA,NA,O_Image_85.bmp,1,1,2
15,1,129,NA,NA,NA,2,0.37789,NA,NA,S_Lure_129.bmp,0,0,3
16,1,4,NA,NA,NA,1,0.38381,NA,NA,F_Lure_4.bmp,0,1,1
17,1,7,NA,NA,NA,1,0.333,NA,NA,F_Lure_7.bmp,0,1,1
18,1,98,NA,NA,NA,1,0.2846,NA,NA,S_Lure_98.bmp,0,0,3
19,1,131,NA,NA,NA,2,0.4541,NA,NA,S_Image_131.bmp,1,1,3
20,1,73,NA,NA,NA,1,0.48816,NA,NA,O_Lure_73.bmp,0,1,2
21,1,137,NA,NA,NA,1,0.46542,NA,NA,S_Lure_137.bmp,0,0,3
22,1,81,NA,NA,NA,1,1.1081,NA,NA,O_Image_81.bmp,1,1,2
23,1,90,NA,NA,NA,1,0.4216,NA,NA,O_Image_90.bmp,2,0,2
24,1,61,NA,NA,NA,1,0.27343,NA,NA,O_Lure_61.bmp,0,0,2
25,1,58,NA,NA,NA,1,0.00014247,NA,NA,O_Image_58.bmp,2,1,2
26,1,72,NA,NA,NA,1,0.27613,NA,NA,O_Image_72.bmp,2,0,2
27,1,5,NA,NA,NA,1,0.32627,NA,NA,F_Lure_5.bmp,0,0,1
28,1,46,NA,NA,NA,2,0.31896,NA,NA,F_Image_46.bmp,2,1,1
29,1,49,NA,NA,NA,1,0.25589,NA,NA,O_Lure_49.bmp,0,1,2
30,1,84,NA,NA,NA,1,0.26594,NA,NA,O_Image_84.bmp,1,1,2
31,1,52,NA,NA,NA,1,0.34824,NA,NA,O_Lure_52.bmp,0,0,2
32,1,15,NA,NA,NA,1,0.84402,NA,NA,F_Image_15.bmp,2,1,1
33,1,27,NA,NA,NA,1,0.094999,NA,NA,F_Lure_27.bmp,0,0,1
34,1,121,NA,NA,NA,2,0.31114,NA,NA,S_Lure_121.bmp,0,1,3
35,1,140,NA,NA,NA,1,0.5909,NA,NA,S_Lure_140.bmp,0,0,3
36,1,10,NA,NA,NA,1,0.97192,NA,NA,F_Image_10.bmp,2,0,1
37,1,17,NA,NA,NA,1,0.32304,NA,NA,F_Image_17.bmp,1,1,1
38,1,2,NA,NA,NA,1,0.25871,NA,NA,F_Lure_2.bmp,0,0,1
39,1,126,NA,NA,NA,2,0.32394,NA,NA,S_Image_126.bmp,2,0,3
40,1,97,NA,NA,NA,1,1.699,NA,NA,S_Lure_97.bmp,0,0,3
41,1,120,NA,NA,NA,2,1.5074,NA,NA,S_Image_120.bmp,2,1,3
42,1,92,NA,NA,NA,1,0.31634,NA,NA,O_Image_92.bmp,1,0,2
43,1,125,NA,NA,NA,1,0.61229,NA,NA,S_Image_125.bmp,1,0,3
44,1,76,NA,NA,NA,1,0.2569,NA,NA,O_Lure_76.bmp,0,0,2
45,1,43,NA,NA,NA,1,0.60464,NA,NA,F_Image_43.bmp,2,1,1
46,1,128,NA,NA,NA,1,0.56211,NA,NA,S_Lure_128.bmp,0,0,3
47,1,114,NA,NA,NA,1,0.24909,NA,NA,S_Lure_114.bmp,0,0,3
48,1,121,NA,NA,NA,2,0.08311,NA,NA,S_Image_121.bmp,2,1,3
49,1,89,NA,NA,NA,1,0.24542,NA,NA,O_Lure_89.bmp,0,1,2
50,1,28,NA,NA,NA,1,0.70462,NA,NA,F_Image_28.bmp,1,1,1
51,1,44,NA,NA,NA,1,0.43383,NA,NA,F_Lure_44.bmp,0,1,1
52,1,81,NA,NA,NA,1,0.14224,NA,NA,O_Lure_81.bmp,0,1,2
53,1,100,NA,NA,NA,2,0.26856,NA,NA,S_Lure_100.bmp,0,0,3
54,1,71,NA,NA,NA,1,0.41504,NA,NA,O_Lure_71.bmp,0,1,2
55,1,114,NA,NA,NA,1,0.30674,NA,NA,S_Image_114.bmp,2,0,3
56,1,138,NA,NA,NA,2,0.77892,NA,NA,S_Image_138.bmp,1,1,3
57,1,50,NA,NA,NA,1,0.53408,NA,NA,O_Image_50.bmp,1,1,2
58,1,86,NA,NA,NA,1,0.00012889,NA,NA,O_Lure_86.bmp,0,1,2
59,1,76,NA,NA,NA,1,0.41216,NA,NA,O_Image_76.bmp,2,0,2
60,1,54,NA,NA,NA,1,0.44912,NA,NA,O_Lure_54.bmp,0,0,2
61,1,64,NA,NA,NA,1,0.45284,NA,NA,O_Lure_64.bmp,0,0,2
62,1,13,NA,NA,NA,1,0.03233,NA,NA,F_Image_13.bmp,1,1,1
