Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,1,1.6426,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,1,3.0303,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,1,2.3467,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,1,1.93,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,0.98505,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,14.9163,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,1,6.7095,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,1,3.4373,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,0.75313,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,1,0.18382,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,1.0359,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,0.19027,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,0.57023,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,1,0.38364,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,1,0.66054,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,1,1.1591,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,0.91735,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,1.5328,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,0.22771,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,0.00011772,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,1,1.0971,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,0.26664,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,1.0601,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,0.029549,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,1.0402,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,1.091,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,1,0.13186,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,1.1461,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,1,0.67345,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,0.57159,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,3.1602,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,0.2073,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,0.38074,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,1,0.50493,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,0.46431,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,0.88833,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,0.47389,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,1.2289,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,0.22428,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,0.49169,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.93172,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.00011591,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.76121,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,1.4307,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,0.75356,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,1,0.38518,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,1,0.92504,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,1,0.28254,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,1,1.1781,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,1,0.93491,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,1.5877,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,1,0.15058,NA,NA,F_Image_1.bmp,2,0,1
53,1,55,NA,NA,NA,1,1.0681,NA,NA,S_Image_55.bmp,1,0,3
54,1,61,NA,NA,NA,1,0.55546,NA,NA,S_Lure_61.bmp,0,0,3
55,1,46,NA,NA,NA,1,0.032904,NA,NA,O_Lure_46.bmp,0,0,2
56,1,54,NA,NA,NA,1,0.00012527,NA,NA,S_Image_54.bmp,1,0,3
57,1,50,NA,NA,NA,1,0.51107,NA,NA,S_Lure_50.bmp,0,1,3
58,1,26,NA,NA,NA,1,0.74191,NA,NA,O_Image_26.bmp,2,0,2
59,1,52,NA,NA,NA,1,1.108,NA,NA,S_Lure_52.bmp,0,1,3
60,1,70,NA,NA,NA,1,3.1787,NA,NA,S_Lure_70.bmp,0,1,3
61,1,35,NA,NA,NA,1,2.5676,NA,NA,O_Image_35.bmp,1,1,2
62,1,19,NA,NA,NA,1,1.3006,NA,NA,F_Image_19.bmp,1,0,1
63,1,56,NA,NA,NA,1,0.19804,NA,NA,S_Lure_56.bmp,0,1,3
64,1,41,NA,NA,NA,1,1.6254,NA,NA,O_Lure_41.bmp,0,1,2
65,1,16,NA,NA,NA,1,0.57254,NA,NA,F_Image_16.bmp,1,1,1
66,1,23,NA,NA,NA,1,0.47185,NA,NA,F_Image_23.bmp,2,0,1
67,1,40,NA,NA,NA,1,0.28076,NA,NA,O_Lure_40.bmp,0,1,2
68,1,46,NA,NA,NA,1,0.856,NA,NA,O_Image_46.bmp,2,0,2
69,1,9,NA,NA,NA,1,1.2481,NA,NA,F_Image_9.bmp,2,1,1
70,1,24,NA,NA,NA,1,0.00011742,NA,NA,F_Lure_24.bmp,0,0,1
71,1,8,NA,NA,NA,1,0.69896,NA,NA,F_Lure_8.bmp,0,0,1
72,1,43,NA,NA,NA,1,1.1298,NA,NA,O_Image_43.bmp,2,0,2
73,1,51,NA,NA,NA,1,2.3605,NA,NA,S_Image_51.bmp,1,1,3
74,1,63,NA,NA,NA,1,11.2804,NA,NA,S_Lure_63.bmp,0,1,3
75,1,19,NA,NA,NA,1,8.8256,NA,NA,F_Lure_19.bmp,0,0,1
76,1,69,NA,NA,NA,1,10.7799,NA,NA,S_Image_69.bmp,1,0,3
77,1,7,NA,NA,NA,1,0.00011802,NA,NA,F_Lure_7.bmp,0,1,1
78,1,23,NA,NA,NA,1,0.00011832,NA,NA,F_Lure_23.bmp,0,0,1
79,1,36,NA,NA,NA,1,0.48122,NA,NA,O_Image_36.bmp,2,1,2
80,1,36,NA,NA,NA,1,0.45604,NA,NA,O_Lure_36.bmp,0,1,2
81,1,49,NA,NA,NA,1,1.1368,NA,NA,S_Image_49.bmp,2,0,3
82,1,29,NA,NA,NA,1,0.00011772,NA,NA,O_Lure_29.bmp,0,1,2
83,1,51,NA,NA,NA,1,0.0030915,NA,NA,S_Lure_51.bmp,0,1,3
84,1,48,NA,NA,NA,1,1.6371,NA,NA,O_Image_48.bmp,2,0,2
85,1,71,NA,NA,NA,1,0.94271,NA,NA,S_Lure_71.bmp,0,0,3
86,1,4,NA,NA,NA,1,0.00011772,NA,NA,F_Image_4.bmp,2,1,1
87,1,14,NA,NA,NA,1,0.24106,NA,NA,F_Lure_14.bmp,0,0,1
88,1,44,NA,NA,NA,1,0.0036656,NA,NA,O_Image_44.bmp,2,1,2
89,1,6,NA,NA,NA,1,2.7089,NA,NA,F_Image_6.bmp,1,0,1
90,1,27,NA,NA,NA,1,0.020737,NA,NA,O_Image_27.bmp,2,0,2
91,1,29,NA,NA,NA,1,1.9093,NA,NA,O_Image_29.bmp,2,1,2
92,1,10,NA,NA,NA,1,0.73974,NA,NA,F_Lure_10.bmp,0,1,1
93,1,11,NA,NA,NA,1,0.54442,NA,NA,F_Lure_11.bmp,0,0,1
94,1,5,NA,NA,NA,1,0.58919,NA,NA,F_Image_5.bmp,1,0,1
95,1,52,NA,NA,NA,1,0.32004,NA,NA,S_Image_52.bmp,2,1,3
96,1,54,NA,NA,NA,1,1.4388,NA,NA,S_Lure_54.bmp,0,0,3
97,1,38,NA,NA,NA,1,0.62484,NA,NA,O_Lure_38.bmp,0,0,2
98,1,68,NA,NA,NA,1,0.82764,NA,NA,S_Image_68.bmp,1,0,3
99,1,53,NA,NA,NA,1,2.0931,NA,NA,S_Lure_53.bmp,0,1,3
100,1,35,NA,NA,NA,1,0.7401,NA,NA,O_Lure_35.bmp,0,1,2
101,1,53,NA,NA,NA,1,0.27278,NA,NA,S_Image_53.bmp,2,1,3
102,1,64,NA,NA,NA,1,0.81561,NA,NA,S_Image_64.bmp,2,0,3
103,1,26,NA,NA,NA,1,1.1285,NA,NA,O_Lure_26.bmp,0,0,2
104,1,3,NA,NA,NA,1,0.74991,NA,NA,F_Lure_3.bmp,0,1,1
105,1,30,NA,NA,NA,1,0.88262,NA,NA,O_Image_30.bmp,1,0,2
106,1,22,NA,NA,NA,1,1.6102,NA,NA,F_Lure_22.bmp,0,1,1
107,1,71,NA,NA,NA,1,0.19834,NA,NA,S_Image_71.bmp,2,0,3
108,1,66,NA,NA,NA,1,2.9771,NA,NA,S_Image_66.bmp,2,1,3
109,1,33,NA,NA,NA,1,0.86943,NA,NA,O_Lure_33.bmp,0,1,2
110,1,42,NA,NA,NA,1,1.2948,NA,NA,O_Image_42.bmp,1,1,2
111,1,68,NA,NA,NA,1,1.8522,NA,NA,S_Lure_68.bmp,0,0,3
112,1,6,NA,NA,NA,1,0.97378,NA,NA,F_Lure_6.bmp,0,0,1
113,1,70,NA,NA,NA,1,0.56933,NA,NA,S_Image_70.bmp,1,1,3
114,1,60,NA,NA,NA,1,1.4067,NA,NA,S_Image_60.bmp,1,1,3
115,1,39,NA,NA,NA,1,0.58567,NA,NA,O_Lure_39.bmp,0,0,2
116,1,39,NA,NA,NA,1,0.94848,NA,NA,O_Image_39.bmp,2,0,2
117,1,48,NA,NA,NA,1,0.89657,NA,NA,O_Lure_48.bmp,0,0,2
118,1,13,NA,NA,NA,1,0.382,NA,NA,F_Lure_13.bmp,0,1,1
119,1,32,NA,NA,NA,1,1.0174,NA,NA,O_Lure_32.bmp,0,0,2
120,1,31,NA,NA,NA,1,0.94627,NA,NA,O_Lure_31.bmp,0,1,2
121,1,42,NA,NA,NA,1,1.6971,NA,NA,O_Lure_42.bmp,0,1,2
122,1,47,NA,NA,NA,1,0.31261,NA,NA,O_Lure_47.bmp,0,1,2
123,1,11,NA,NA,NA,1,4.8631,NA,NA,F_Image_11.bmp,1,0,1
124,1,12,NA,NA,NA,1,1.0976,NA,NA,F_Lure_12.bmp,0,0,1
125,1,3,NA,NA,NA,1,0.83916,NA,NA,F_Image_3.bmp,1,1,1
126,1,58,NA,NA,NA,1,0.33725,NA,NA,S_Image_58.bmp,1,1,3
127,1,17,NA,NA,NA,1,0.00011712,NA,NA,F_Lure_17.bmp,0,0,1
128,1,1,NA,NA,NA,1,1.3136,NA,NA,F_Lure_1.bmp,0,0,1
129,1,72,NA,NA,NA,1,1.9043,NA,NA,S_Image_72.bmp,1,0,3
130,1,9,NA,NA,NA,1,1.2233,NA,NA,F_Lure_9.bmp,0,1,1
131,1,21,NA,NA,NA,1,2.3213,NA,NA,F_Image_21.bmp,1,0,1
132,1,59,NA,NA,NA,1,2.0615,NA,NA,S_Image_59.bmp,2,0,3
133,1,66,NA,NA,NA,1,1.5566,NA,NA,S_Lure_66.bmp,0,1,3
134,1,18,NA,NA,NA,1,0.47408,NA,NA,F_Image_18.bmp,2,1,1
135,1,41,NA,NA,NA,1,1.6334,NA,NA,O_Image_41.bmp,1,1,2
136,1,2,NA,NA,NA,1,0.31494,NA,NA,F_Image_2.bmp,2,0,1
137,1,72,NA,NA,NA,1,2.1677,NA,NA,S_Lure_72.bmp,0,0,3
138,1,65,NA,NA,NA,1,0.54782,NA,NA,S_Lure_65.bmp,0,1,3
139,1,47,NA,NA,NA,1,0.25671,NA,NA,O_Image_47.bmp,1,1,2
140,1,37,NA,NA,NA,1,1.3914,NA,NA,O_Lure_37.bmp,0,1,2
141,1,21,NA,NA,NA,1,0.72247,NA,NA,F_Lure_21.bmp,0,0,1
142,1,22,NA,NA,NA,1,1.0897,NA,NA,F_Image_22.bmp,1,1,1
143,1,58,NA,NA,NA,1,0.91386,NA,NA,S_Lure_58.bmp,0,1,3
144,1,56,NA,NA,NA,1,0.00012104,NA,NA,S_Image_56.bmp,1,1,3
145,2,58,hurricane,1,1,1,2.9367,1,NA,S_Image_58.bmp-S_Lure_58.bmp,1,1,3
146,2,8,bubble,1,1,1,1.7473,1,NA,F_Image_8.bmp-F_Lure_8.bmp,1,0,1
147,2,51,magnet,1,1,2,2.2743,0,NA,S_Image_51.bmp-S_Lure_51.bmp,1,1,3
148,2,42,breakfast,1,1,1,1.4457,1,NA,O_Image_42.bmp-O_Lure_42.bmp,1,1,2
149,2,19,costume,1,1,1,1.2015,1,NA,F_Image_19.bmp-F_Lure_19.bmp,1,0,1
150,2,63,flood,1,1,1,1.4307,1,NA,S_Image_63.bmp-S_Lure_63.bmp,1,1,3
151,2,5,harem,1,2,1,1.9472,0,NA,F_Image_5.bmp-F_Lure_5.bmp,1,0,1
152,2,72,fuel,1,1,1,1.4188,1,NA,S_Image_72.bmp-S_Lure_72.bmp,1,0,3
153,2,32,lever,1,2,2,0.99996,1,NA,O_Image_32.bmp-O_Lure_32.bmp,1,0,2
154,2,55,black,1,2,2,1.1092,1,NA,S_Image_55.bmp-S_Lure_55.bmp,1,0,3
155,2,30,galaxy,1,2,1,0.99892,0,NA,O_Image_30.bmp-O_Lure_30.bmp,1,0,2
156,2,54,attack,1,1,1,1.2365,1,NA,S_Image_54.bmp-S_Lure_54.bmp,1,0,3
157,3,32,lever,1,2,2,0.87966,1,NA,O_Image_32.bmp-O_Lure_32.bmp,1,0,2
158,3,63,flood,1,1,1,0.88987,1,NA,S_Image_63.bmp-S_Lure_63.bmp,1,1,3
159,3,54,attack,1,1,1,0.71651,1,NA,S_Image_54.bmp-S_Lure_54.bmp,1,0,3
160,3,51,magnet,1,1,2,1.0695,0,NA,S_Image_51.bmp-S_Lure_51.bmp,1,1,3
161,3,19,costume,1,1,1,0.94418,1,NA,F_Image_19.bmp-F_Lure_19.bmp,1,0,1
162,3,5,harem,1,1,1,1.3603,1,NA,F_Image_5.bmp-F_Lure_5.bmp,1,0,1
163,3,72,fuel,1,1,1,1.336,1,NA,S_Image_72.bmp-S_Lure_72.bmp,1,0,3
164,3,58,hurricane,1,2,1,1.6321,0,NA,S_Image_58.bmp-S_Lure_58.bmp,1,1,3
165,3,42,breakfast,1,1,1,1.1965,1,NA,O_Image_42.bmp-O_Lure_42.bmp,1,1,2
166,3,30,galaxy,1,2,2,1.0019,1,NA,O_Image_30.bmp-O_Lure_30.bmp,1,0,2
167,3,8,bubble,1,2,1,1.9676,0,NA,F_Image_8.bmp-F_Lure_8.bmp,1,0,1
168,3,55,black,1,2,2,1.0065,1,NA,S_Image_55.bmp-S_Lure_55.bmp,1,0,3
169,2,69,corner,2,1,1,1.8293,1,NA,S_Image_69.bmp-S_Lure_69.bmp,1,0,3
170,2,40,ghost,2,2,2,1.0338,1,NA,O_Image_40.bmp-O_Lure_40.bmp,1,1,2
171,2,47,laundry,2,2,2,1.2215,1,NA,O_Image_47.bmp-O_Lure_47.bmp,1,1,2
172,2,7,corpse,2,1,1,1.0028,1,NA,F_Image_7.bmp-F_Lure_7.bmp,1,1,1
173,2,22,arch,2,2,2,0.85605,1,NA,F_Image_22.bmp-F_Lure_22.bmp,1,1,1
174,2,3,alien,2,1,1,1.2196,1,NA,F_Image_3.bmp-F_Lure_3.bmp,1,1,1
175,2,70,kiss,2,2,2,1.7284,1,NA,S_Image_70.bmp-S_Lure_70.bmp,1,1,3
176,2,68,asphalt,2,1,1,1.2969,1,NA,S_Image_68.bmp-S_Lure_68.bmp,1,0,3
177,2,62,drizzle,2,1,1,1.3386,1,NA,S_Image_62.bmp-S_Lure_62.bmp,1,0,3
178,2,33,hostage,2,1,1,1.2426,1,NA,O_Image_33.bmp-O_Lure_33.bmp,1,1,2
179,2,60,cloud,2,1,1,0.76689,1,NA,S_Image_60.bmp-S_Lure_60.bmp,1,1,3
180,2,45,honeymoon,2,2,2,1.5341,1,NA,O_Image_45.bmp-O_Lure_45.bmp,1,1,2
181,3,62,drizzle,2,1,1,0.98164,1,NA,S_Image_62.bmp-S_Lure_62.bmp,1,0,3
182,3,69,corner,2,2,2,0.94763,1,NA,S_Image_69.bmp-S_Lure_69.bmp,1,0,3
183,3,22,arch,2,1,1,1.1154,1,NA,F_Image_22.bmp-F_Lure_22.bmp,1,1,1
184,3,70,kiss,2,2,2,0.78009,1,NA,S_Image_70.bmp-S_Lure_70.bmp,1,1,3
185,3,3,alien,2,1,1,0.71457,1,NA,F_Image_3.bmp-F_Lure_3.bmp,1,1,1
186,3,7,corpse,2,1,1,1.1156,1,NA,F_Image_7.bmp-F_Lure_7.bmp,1,1,1
187,3,47,laundry,2,1,1,1.3085,1,NA,O_Image_47.bmp-O_Lure_47.bmp,1,1,2
188,3,33,hostage,2,2,2,2.2217,1,NA,O_Image_33.bmp-O_Lure_33.bmp,1,1,2
189,3,40,ghost,2,2,2,1.6829,1,NA,O_Image_40.bmp-O_Lure_40.bmp,1,1,2
190,3,68,asphalt,2,2,2,2.1808,1,NA,S_Image_68.bmp-S_Lure_68.bmp,1,0,3
191,3,60,cloud,2,1,1,1.2043,1,NA,S_Image_60.bmp-S_Lure_60.bmp,1,1,3
192,3,45,honeymoon,2,2,2,1.0249,1,NA,O_Image_45.bmp-O_Lure_45.bmp,1,1,2
193,2,28,alcohol,3,2,2,0.97448,1,NA,O_Image_28.bmp-O_Lure_28.bmp,1,1,2
194,2,35,board,3,1,1,0.80586,1,NA,O_Image_35.bmp-O_Lure_35.bmp,1,1,2
195,2,16,fire,3,2,2,1.315,1,NA,F_Image_16.bmp-F_Lure_16.bmp,1,1,1
