Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,1,0.43311,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,1,1.8561,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,1,0.09082,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,1,0.94881,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,1.0275,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,1.1344,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,1,1.4203,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,1,0.14173,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,3.9563,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,1,0.067352,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,1.3872,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,0.00011047,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,0.00011621,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,1,1.214,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,1,0.25814,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,1,2.8608,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,1.8882,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,0.044433,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,0.10378,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,1.4318,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,1,3.3796,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,1.9525,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,0.20628,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,0.073338,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,0.62078,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,0.00014428,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,1,0.72356,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,0.084212,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,1,0.34775,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,0.97831,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,0.12111,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,0.09642,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,0.45777,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,1,0.62741,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,0.17604,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,0.726,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,1.7473,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,1.4174,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,0.31892,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,3.048,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.09714,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.00011681,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.00011078,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,2.2836,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,3.4984,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,2,1.1365,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,2,0.64154,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,2,0.74071,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,2,0.020887,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,2,0.10558,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,0.00011319,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,2,0.11035,NA,NA,F_Image_1.bmp,2,0,1
53,1,55,NA,NA,NA,1,2.3568,NA,NA,S_Image_55.bmp,1,0,3
54,1,61,NA,NA,NA,1,2.7872,NA,NA,S_Lure_61.bmp,0,0,3
55,1,46,NA,NA,NA,1,0.65595,NA,NA,O_Lure_46.bmp,0,0,2
56,1,54,NA,NA,NA,1,1.1212,NA,NA,S_Image_54.bmp,1,0,3
57,1,50,NA,NA,NA,1,0.67395,NA,NA,S_Lure_50.bmp,0,1,3
58,1,26,NA,NA,NA,2,0.34734,NA,NA,O_Image_26.bmp,2,0,2
59,1,52,NA,NA,NA,2,1.3867,NA,NA,S_Lure_52.bmp,0,1,3
60,1,70,NA,NA,NA,2,0.12739,NA,NA,S_Lure_70.bmp,0,1,3
61,1,35,NA,NA,NA,2,3.4781,NA,NA,O_Image_35.bmp,1,1,2
62,1,19,NA,NA,NA,2,0.15756,NA,NA,F_Image_19.bmp,1,0,1
