Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,2,2.0455,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,2,1.6337,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,2,2.0379,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,2,5.7043,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,0.88284,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,2.2674,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,2,0.59691,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,2,1.4329,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,0.57175,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,2,0.00012014,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,3.6856,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,0.29531,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,0.42468,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,1,0.58739,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,2,0.41605,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,1,0.11413,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,0.097426,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,0.44876,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,1.339,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,0.35313,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,1,0.13438,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,0.00011682,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,0.044275,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,0.00011802,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,0.060968,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,0.00011682,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,2,2.6238,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,1.5693,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,1,0.13409,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,0.11536,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,2.1781,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,0.00013764,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,0.96353,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,2,2.0237,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,0.43241,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,0.00011651,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,0.00014127,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,0.40192,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,0.30788,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,0.25653,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.34608,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.00011651,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.00011682,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,0.00011893,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,0.00011712,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,1,0.000115,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,1,0.00011742,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,1,0.58902,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,1,0.00011651,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,1,0.24844,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,1.3945,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,1,0.031159,NA,NA,F_Image_1.bmp,2,0,1
53,1,55,NA,NA,NA,1,0.48053,NA,NA,S_Image_55.bmp,1,0,3
54,1,61,NA,NA,NA,1,0.071794,NA,NA,S_Lure_61.bmp,0,0,3
55,1,46,NA,NA,NA,1,0.16863,NA,NA,O_Lure_46.bmp,0,0,2
56,1,54,NA,NA,NA,1,0.061412,NA,NA,S_Image_54.bmp,1,0,3
57,1,50,NA,NA,NA,1,0.30993,NA,NA,S_Lure_50.bmp,0,1,3
58,1,26,NA,NA,NA,1,1.3639,NA,NA,O_Image_26.bmp,2,0,2
59,1,52,NA,NA,NA,1,0.0001141,NA,NA,S_Lure_52.bmp,0,1,3
60,1,70,NA,NA,NA,1,0.00013885,NA,NA,S_Lure_70.bmp,0,1,3
61,1,35,NA,NA,NA,1,1.4937,NA,NA,O_Image_35.bmp,1,1,2
62,1,19,NA,NA,NA,2,2.5255,NA,NA,F_Image_19.bmp,1,0,1
63,1,56,NA,NA,NA,1,0.21429,NA,NA,S_Lure_56.bmp,0,1,3
64,1,41,NA,NA,NA,1,0.50309,NA,NA,O_Lure_41.bmp,0,1,2
65,1,16,NA,NA,NA,1,0.052483,NA,NA,F_Image_16.bmp,1,1,1
66,1,23,NA,NA,NA,1,0.00011621,NA,NA,F_Image_23.bmp,2,0,1
67,1,40,NA,NA,NA,1,1.8571,NA,NA,O_Lure_40.bmp,0,1,2
68,1,46,NA,NA,NA,1,0.18663,NA,NA,O_Image_46.bmp,2,0,2
69,1,9,NA,NA,NA,1,0.18218,NA,NA,F_Image_9.bmp,2,1,1
70,1,24,NA,NA,NA,1,0.23397,NA,NA,F_Lure_24.bmp,0,0,1
71,1,8,NA,NA,NA,1,0.33206,NA,NA,F_Lure_8.bmp,0,0,1
72,1,43,NA,NA,NA,1,0.92133,NA,NA,O_Image_43.bmp,2,0,2
73,1,51,NA,NA,NA,1,1.0316,NA,NA,S_Image_51.bmp,1,1,3
74,1,63,NA,NA,NA,1,0.42487,NA,NA,S_Lure_63.bmp,0,1,3
75,1,19,NA,NA,NA,1,0.8115,NA,NA,F_Lure_19.bmp,0,0,1
76,1,69,NA,NA,NA,1,0.00011712,NA,NA,S_Image_69.bmp,1,0,3
77,1,7,NA,NA,NA,1,0.19523,NA,NA,F_Lure_7.bmp,0,1,1
78,1,23,NA,NA,NA,1,1.1079,NA,NA,F_Lure_23.bmp,0,0,1
79,1,36,NA,NA,NA,1,0.00011863,NA,NA,O_Image_36.bmp,2,1,2
80,1,36,NA,NA,NA,1,0.00011772,NA,NA,O_Lure_36.bmp,0,1,2
81,1,49,NA,NA,NA,1,0.032556,NA,NA,S_Image_49.bmp,2,0,3
