picID	 fileAB	 fileAC	 ;
"F36_P10_RP"	"MickJagger1.bmp"	"RedSquare1.bmp"	;
"F47_P6_RP"	"ElvisPresley2.bmp"	"KingsCollege1.bmp"	;
"F38_P9_RP"	"RodSteward2.bmp"	"Atomium1.bmp"	;
"F21_P14_C"	"KateWinslet2.bmp"	"MountEverest2.bmp"	;
"F48_P12_RP"	"DavidBeckham1.bmp"	"SistineChapel1.bmp"	;
"F35_P1_RP"	"JudiDench1.bmp"	"Alcatraz1.bmp"	;
"F31_P29_RP"	"AlbertEinstein2.bmp"	"StatueOfLiberty2.bmp"	;
"F22_P18_C"	"WayneRooney2.bmp"	"Petra2.bmp"	;
"F40_P28_RP"	"JuliaRoberts2.bmp"	"MontSaintMichel2.bmp"	;
"F34_P7_RP"	"DanielRadcliffe2.bmp"	"AyersRock2.bmp"	;
"F45_P3_RP"	"MahadmaGandhi1.bmp"	"Akropolis2.bmp"	;
"F24_P13_C"	"AmyWinehouse2.bmp"	"BigBen2.bmp"	;
"F42_O9_RP"	"Madonna2.bmp"	"Shoe1.bmp"	;
"F37_O8_RP"	"BillClinton2.bmp"	"Ladder2.bmp"	;
"F32_O27_RP"	"DanielCraig2.bmp"	"Fan1.bmp"	;
"F20_O18_C"	"GeorgeClooney1.bmp"	"Stapler1.bmp"	;
"F46_O1_RP"	"ScarlettJohansson2.bmp"	"Telephone1.bmp"	;
"F43_O11_RP"	"GeorgeBush2.bmp"	"Watch1.bmp"	;
"F41_O25_RP"	"PrinceWilliam2.bmp"	"Sock1.bmp"	;
"F23_O14_C"	"CharlieChaplin1.bmp"	"Hammock1.bmp"	;
"F44_O30_RP"	"WillSmith1.bmp"	"Umbrella2.bmp"	;
"F39_O3_RP"	"MargaretThatcher2.bmp"	"Scale2.bmp"	;
"F33_O26_RP"	"MichaelJackson1.bmp"	"Lightbulb1.bmp"	;
"F19_O16_C"	"JackNicholson1.bmp"	"Razor1.bmp"	;
"P42_F30_RP"	"ChristTheRedeemer1.bmp"	"NikolaSarkozy2.bmp"	;
"P45_F9_RP"	"MountFuji2.bmp"	"WhoopiGoldberg1.bmp"	;
"P33_F7_RP"	"Mecca1.bmp"	"RobbieWilliams2.bmp"	;
"P24_F17_C"	"ChichenItza1.bmp"	"MerylStreep2.bmp"	;
"P31_F4_RP"	"NiagaraFalls1.bmp"	"TonyBlair2.bmp"	;
"P35_F28_RP"	"PotalaPalace2.bmp"	"BarackObama2.bmp"	;
"P44_F3_RP"	"Louvre2.bmp"	"BillGates2.bmp"	;
"P19_F13_C"	"TajMahal1.bmp"	"NelsonMandela2.bmp"	;
"P37_F10_RP"	"AngkorWat1.bmp"	"HughGrant1.bmp"	;
"P32_F11_RP"	"TowerBridge2.bmp"	"MotherTeresa1.bmp"	;
"P41_F27_RP"	"HollywoodSign1.bmp"	"KateMoss2.bmp"	;
"P20_F16_C"	"GoldenGateBridge1.bmp"	"EltonJohn2.bmp"	;
"P34_O6_RP"	"NeuschwansteinCastle2.bmp"	"Wineglass1.bmp"	;
"P40_O7_RP"	"RapaNui1.bmp"	"Headphones2.bmp"	;
"P46_O2_RP"	"Versailles1.bmp"	"Bed2.bmp"	;
"P23_O15_C"	"GizehPyramids1.bmp"	"FryingPan1.bmp"	;
"P43_O10_RP"	"MachuPicchu2.bmp"	"Broom1.bmp"	;
"P38_O4_RP"	"GreatWall1.bmp"	"Football1.bmp"	;
"P36_O12_RP"	"SydneyOpera1.bmp"	"Goggles2.bmp"	;
"P21_O13_C"	"HagiaSophia2.bmp"	"Binoculars2.bmp"	;
"P47_O29_RP"	"SagradaFamilia2.bmp"	"Canoe1.bmp"	;
"P48_O5_RP"	"GrandCanyon1.bmp"	"Torch1.bmp"	;
"P39_O28_RP"	"NotreDame2.bmp"	"Suitcase2.bmp"	;
"P22_O17_C"	"TimeSquare2.bmp"	"Belt1.bmp"	;
"O31_F26_RP"	"Flask2.bmp"	"BradPitt1.bmp"	;
"O37_F6_RP"	"Hat1.bmp"	"JenniferLopez2.bmp"	;
"O45_F12_RP"	"Basket1.bmp"	"QueenElisabeth1.bmp"	;
"O19_F18_C"	"Microscope1.bmp"	"AngelaMerkel2.bmp"	;
"O38_F5_RP"	"Barbecue2.bmp"	"TomCruise2.bmp"	;
"O36_F1_RP"	"GrandPiano2.bmp"	"LeonardoDiCaprio2.bmp"	;
"O39_F8_RP"	"Mirror2.bmp"	"TomHanks1.bmp"	;
"O20_F15_C"	"Wheelchair1.bmp"	"FidelCastro2.bmp"	;
"O41_F25_RP"	"Key1.bmp"	"BritneySpears1.bmp"	;
"O42_F29_RP"	"Anchor1.bmp"	"PierceBrosnan1.bmp"	;
"O32_F2_RP"	"Bicycle2.bmp"	"MarilynMonroe2.bmp"	;
"O22_F14_C"	"Globe2.bmp"	"JohnLennon2.bmp"	;
"O34_P30_RP"	"Soother1.bmp"	"Colosseum2.bmp"	;
"O44_P4_RP"	"Radio2.bmp"	"DoverCliffs1.bmp"	;
"O43_P5_RP"	"Guitar2.bmp"	"MountRushmore1.bmp"	;
"O21_P17_C"	"RemoteControl1.bmp"	"EiffelTower2.bmp"	;
"O33_P8_RP"	"Skirt1.bmp"	"BrandenburgGate2.bmp"	;
"O35_P26_RP"	"Brush1.bmp"	"RialtoBridge2.bmp"	;
"O48_P25_RP"	"Trophy2.bmp"	"SaharaDesert1.bmp"	;
