Output,RNG-number,Start-time,End-time,Initials,Notes,Visualization
Subject_16.csv-Subject_16.mat,2801,2016\7\7\10:50 AM,2016\7\7\12:26 AM,lh,h
,5Subject_17.csv-Subject_17.mat,2720,2016\7\8\10:20 AM,2016\7\8\12:01 AM,lh,h
,3Subject_19.csv-Subject_19.mat,9948,2016\7\11\2:14 PM,2016\7\11\3:48 PM,lh,h
,3Subject_20.csv-Subject_20.mat,5692,2016\7\20\4:02 PM,2016\7\20\5:34 PM,lh,h
,2
