picID	 fileAB	 fileAC	 ;
"F18_P45_RP"	"AngelaMerkel2.bmp"	"MountFuji2.bmp"	;
"F4_P48_RP"	"TonyBlair2.bmp"	"GrandCanyon1.bmp"	;
"F15_P42_RP"	"FidelCastro1.bmp"	"ChristTheRedeemer2.bmp"	;
"F27_P31_C"	"KateMoss1.bmp"	"NiagaraFalls1.bmp"	;
"F11_P24_RP"	"MotherTeresa1.bmp"	"ChichenItza1.bmp"	;
"F9_P41_RP"	"WhoopiGoldberg2.bmp"	"HollywoodSign1.bmp"	;
"F10_P23_RP"	"HughGrant1.bmp"	"GizehPyramids2.bmp"	;
"F26_P32_C"	"BradPitt1.bmp"	"TowerBridge1.bmp"	;
"F17_P38_RP"	"MerylStreep1.bmp"	"GreatWall2.bmp"	;
"F5_P21_RP"	"TomCruise2.bmp"	"HagiaSophia2.bmp"	;
"F6_P37_RP"	"JenniferLopez2.bmp"	"AngkorWat2.bmp"	;
"F30_P33_C"	"NikolaSarkozy2.bmp"	"Mecca1.bmp"	;
"F16_O24_RP"	"EltonJohn2.bmp"	"Necklace1.bmp"	;
"F8_O23_RP"	"TomHanks2.bmp"	"Pillows2.bmp"	;
"F13_O47_RP"	"NelsonMandela1.bmp"	"Scissors1.bmp"	;
"F28_O36_C"	"BarackObama1.bmp"	"GrandPiano2.bmp"	;
"F14_O44_RP"	"JohnLennon2.bmp"	"Radio2.bmp"	;
"F2_O48_RP"	"MarilynMonroe2.bmp"	"Trophy2.bmp"	;
"F3_O20_RP"	"BillGates1.bmp"	"Wheelchair2.bmp"	;
"F25_O34_C"	"BritneySpears1.bmp"	"Soother1.bmp"	;
"F7_O39_RP"	"RobbieWilliams1.bmp"	"Mirror2.bmp"	;
"F1_O43_RP"	"LeonardoDiCaprio1.bmp"	"Guitar1.bmp"	;
"F12_O40_RP"	"QueenElisabeth1.bmp"	"Teddybear1.bmp"	;
"F29_O32_C"	"PierceBrosnan2.bmp"	"Bicycle2.bmp"	;
"P6_F40_RP"	"KingsCollege2.bmp"	"JuliaRoberts2.bmp"	;
"P12_F44_RP"	"SistineChapel2.bmp"	"WillSmith1.bmp"	;
"P9_F37_RP"	"Atomium2.bmp"	"BillClinton2.bmp"	;
"P30_F31_C"	"Colosseum1.bmp"	"AlbertEinstein1.bmp"	;
"P3_F43_RP"	"Akropolis2.bmp"	"GeorgeBush1.bmp"	;
"P7_F23_RP"	"AyersRock2.bmp"	"CharlieChaplin1.bmp"	;
"P13_F39_RP"	"BigBen1.bmp"	"MargaretThatcher1.bmp"	;
"P28_F35_C"	"MontSaintMichel1.bmp"	"JudiDench1.bmp"	;
"P14_F21_RP"	"MountEverest1.bmp"	"KateWinslet1.bmp"	;
"P16_F47_RP"	"LeaningTower2.bmp"	"ElvisPresley1.bmp"	;
"P10_F24_RP"	"RedSquare2.bmp"	"AmyWinehouse1.bmp"	;
"P25_F33_C"	"SaharaDesert2.bmp"	"MichaelJackson2.bmp"	;
"P11_O46_RP"	"WhiteHouse2.bmp"	"Rope1.bmp"	;
"P2_O45_RP"	"ForbiddenCity2.bmp"	"Basket1.bmp"	;
"P1_O41_RP"	"Alcatraz2.bmp"	"Key1.bmp"	;
"P27_O33_C"	"Alhambra2.bmp"	"Skirt1.bmp"	;
"P18_O22_RP"	"Petra2.bmp"	"Globe1.bmp"	;
"P17_O19_RP"	"EiffelTower1.bmp"	"Microscope2.bmp"	;
"P4_O21_RP"	"DoverCliffs2.bmp"	"RemoteControl1.bmp"	;
"P29_O35_C"	"StatueOfLiberty1.bmp"	"Brush2.bmp"	;
"P15_O38_RP"	"Stonehenge1.bmp"	"Barbecue2.bmp"	;
"P8_O42_RP"	"BrandenburgGate2.bmp"	"Anchor2.bmp"	;
"P5_O37_RP"	"MountRushmore1.bmp"	"Hat1.bmp"	;
"P26_O31_C"	"RialtoBridge1.bmp"	"Flask1.bmp"	;
"O16_F22_RP"	"Razor2.bmp"	"WayneRooney1.bmp"	;
"O17_F20_RP"	"Belt1.bmp"	"GeorgeClooney2.bmp"	;
"O5_F38_RP"	"Torch1.bmp"	"RodSteward2.bmp"	;
"O30_F36_C"	"Umbrella2.bmp"	"MickJagger1.bmp"	;
"O18_F19_RP"	"Stapler1.bmp"	"JackNicholson2.bmp"	;
"O10_F42_RP"	"Broom2.bmp"	"Madonna1.bmp"	;
"O12_F46_RP"	"Goggles2.bmp"	"ScarlettJohansson2.bmp"	;
"O26_F34_C"	"Lightbulb1.bmp"	"DanielRadcliffe2.bmp"	;
"O13_F45_RP"	"Binoculars2.bmp"	"MahadmaGandhi1.bmp"	;
"O14_F41_RP"	"Hammock2.bmp"	"PrinceWilliam2.bmp"	;
"O11_F48_RP"	"Watch1.bmp"	"DavidBeckham1.bmp"	;
"O28_F32_C"	"Suitcase2.bmp"	"DanielCraig2.bmp"	;
